,index,Ratio
0,0,4633
1,1,5015
2,2,2636
3,3,1053
4,4,7685
5,5,3420
6,6,6073
7,7,2505
8,8,1626
9,9,8739
10,10,15798
11,11,5634
12,12,4889
13,13,1888
14,14,1262
15,15,1327
16,16,4108
17,17,20400
18,18,3922
19,19,6991
20,20,2955
21,21,13439
22,22,976
23,23,791
24,24,2185
25,25,9714
26,26,2919
27,27,5509
28,28,13345
29,29,566
30,30,5011
31,31,874
32,32,4137
33,33,5525
34,34,7881
35,35,5590
36,36,7313
37,37,561
38,38,12055
39,39,4670
40,40,6880
41,41,1413
42,42,6724
43,43,1928
44,44,1450
45,45,8738
46,46,1324
47,47,1251
48,48,1091
49,49,720
50,50,4851
51,51,1398
52,52,3103
53,53,6994
54,54,2662
55,55,5516
56,56,2357
57,57,975
58,58,3436
59,59,1157
60,60,1681
61,61,10880
62,62,5200
63,63,2343
64,64,6250
65,65,2911
66,66,12746
67,67,1322
68,68,6119
69,69,5074
70,70,728
71,71,7533
72,72,4142
73,73,5760
74,74,1348
75,75,4571
76,76,1642
77,77,11691
78,78,1488
79,79,2562
80,80,7309
81,81,1755
82,82,8596
83,83,8134
84,84,1218
85,85,3433
86,86,7450
87,87,2521
88,88,2761
89,89,3276
90,90,8717
91,91,3027
92,92,2425
93,93,13392
94,94,434
95,95,1847
96,96,5464
97,97,739
98,98,1420
99,99,884
100,100,7250
101,101,4264
102,102,7758
103,103,13383
104,104,2396
105,105,5308
106,106,7106
107,107,6874
108,108,4194
109,109,5632
110,110,6824
111,111,1465
112,112,12958
113,113,7485
114,114,6310
115,115,4287
116,116,1046
117,117,6883
118,118,3939
119,119,1658
120,120,547
121,121,2071
122,122,4937
123,123,10289
124,124,439
125,125,2918
126,126,12675
127,127,3069
128,128,2395
129,129,3542
130,130,8001
131,131,15857
132,132,15350
133,133,1206
134,134,9077
135,135,3061
136,136,7663
137,137,5241
138,138,4861
139,139,6888
140,140,3931
141,141,764
142,142,1041
143,143,8314
144,144,2318
145,145,4811
146,146,809
147,147,2518
148,148,4557
149,149,2306
150,150,9972
151,151,7941
152,152,5562
153,153,5630
154,154,4697
155,155,5575
156,156,3180
157,157,1222
158,158,299
159,159,17933
160,160,10212
161,161,7713
162,162,2258
163,163,6430
164,164,8819
165,165,15323
166,166,14153
167,167,7956
168,168,3688
169,169,19730
170,170,646
171,171,3455
172,172,609
173,173,4468
174,174,17564
175,175,7511
176,176,7819
177,177,8521
178,178,2393
179,179,6302
180,180,962
181,181,8155
182,182,8378
183,183,4324
184,184,349
185,185,2164
186,186,2346
187,187,5621
188,188,2301
189,189,3807
190,190,7600
191,191,1796
192,192,7064
193,193,6657
194,194,6743
195,195,1474
196,196,8000
197,197,1793
198,198,220
199,199,1420
200,200,955
201,201,2431
202,202,2387
203,203,3906
204,204,1467
205,205,5136
206,206,8642
207,207,460
208,208,1005
209,209,7322
210,210,4072
211,211,8593
212,212,2040
213,213,6562
214,214,5538
215,215,886
216,216,4862
217,217,7421
218,218,4967
219,219,6807
220,220,7236
221,221,7730
222,222,3015
223,223,2444
224,224,2761
225,225,2179
226,226,3316
227,227,1748
228,228,7883
229,229,2265
230,230,8063
231,231,2196
232,232,3247
233,233,3419
234,234,9669
235,235,1213
236,236,1560
237,237,432
238,238,3840
239,239,6153
240,240,3108
241,241,574
242,242,913
243,243,6597
244,244,2873
245,245,3255
246,246,13650
247,247,5183
248,248,1886
249,249,19338
250,250,3217
251,251,5775
252,252,3512
253,253,23919
254,254,12754
255,255,4886
256,256,1784
257,257,6433
258,258,1318
259,259,12672
260,260,2337
261,261,1669
262,262,2754
263,263,19601
264,264,2893
265,265,3632
266,266,465
267,267,2025
268,268,8247
269,269,2187
270,270,9144
271,271,1786
272,272,6122
273,273,2714
274,274,2206
275,275,378
276,276,10983
277,277,6846
278,278,2933
279,279,8038
280,280,8181
281,281,2432
282,282,2190
283,283,11161
284,284,1128
285,285,2739
286,286,7175
287,287,1025
288,288,3140
289,289,17696
290,290,2254
291,291,4402
292,292,10150
293,293,2200
294,294,12608
295,295,5835
296,296,4678
297,297,805
298,298,10043
299,299,10481
300,300,1101
301,301,6328
302,302,1999
303,303,2869
304,304,1857
305,305,4212
306,306,5975
307,307,2505
308,308,1630
309,309,7151
310,310,2354
311,311,4882
312,312,3866
313,313,9251
314,314,9415
315,315,7658
316,316,9182
317,317,6469
318,318,1574
319,319,1762
320,320,14881
321,321,292
322,322,4487
323,323,8132
324,324,2442
325,325,5922
326,326,6370
327,327,1974
328,328,3702
329,329,7674
330,330,5645
331,331,3510
332,332,1687
333,333,1982
334,334,4044
335,335,3140
336,336,3405
337,337,10465
338,338,2665
339,339,2552
340,340,9524
341,341,5447
342,342,9080
343,343,2374
344,344,6879
345,345,4475
346,346,4458
347,347,2529
348,348,215
349,349,10076
350,350,4511
351,351,2125
352,352,2166
353,353,6860
354,354,10499
355,355,1269
356,356,5008
357,357,3447
358,358,7036
359,359,2015
360,360,1544
361,361,876
362,362,1249
363,363,7988
364,364,729
365,365,4485
366,366,6859
367,367,4133
368,368,368
369,369,15821
370,370,7239
371,371,2383
372,372,1312
373,373,2783
374,374,1767
375,375,13367
376,376,1109
377,377,8100
378,378,663
379,379,2254
380,380,1928
381,381,753
382,382,3074
383,383,6445
384,384,2456
385,385,6601
386,386,1320
387,387,6275
388,388,15417
389,389,9665
390,390,5868
391,391,4289
392,392,5371
393,393,7477
394,394,2503
395,395,11543
396,396,7107
397,397,1124
398,398,899
399,399,4750
400,400,9649
401,401,4775
402,402,1976
403,403,12028
404,404,3391
405,405,7830
406,406,12185
407,407,2467
408,408,2100
409,409,13347
410,410,3113
411,411,10566
412,412,1196
413,413,2188
414,414,11507
415,415,2220
416,416,1588
417,417,1635
418,418,11086
419,419,284
420,420,1447
421,421,10409
422,422,9207
423,423,1816
424,424,11426
425,425,6049
426,426,1719
427,427,6771
428,428,8665
429,429,9238
430,430,2446
431,431,755
432,432,15734
433,433,239
434,434,515
435,435,6682
436,436,5229
437,437,6569
438,438,2073
439,439,4042
440,440,4338
441,441,6586
442,442,3246
443,443,1484
444,444,579
445,445,1095
446,446,2212
447,447,6253
448,448,3389
449,449,11280
450,450,3190
451,451,10692
452,452,723
453,453,2592
454,454,575
455,455,550
456,456,3028
457,457,1693
458,458,14242
459,459,23824
460,460,704
461,461,1948
462,462,666
463,463,10210
464,464,2944
465,465,2091
466,466,10705
467,467,3627
468,468,14834
469,469,1911
470,470,5681
471,471,5473
472,472,5300
473,473,4319
474,474,8345
475,475,11961
476,476,2067
477,477,14176
478,478,12524
479,479,25347
480,480,1355
481,481,4376
482,482,2693
483,483,3735
484,484,4213
485,485,7464
486,486,3919
487,487,12192
488,488,10032
489,489,13021
490,490,1144
491,491,3368
492,492,3003
493,493,1536
494,494,1170
495,495,934
496,496,4333
497,497,1467
498,498,7907
499,499,10587
500,500,9231
501,501,10993
502,502,4726
503,503,825
504,504,4844
505,505,1259
506,506,13038
507,507,4542
508,508,1751
509,509,14067
510,510,8439
511,511,4133
512,512,1599
513,513,1709
514,514,10205
515,515,1408
516,516,1999
517,517,7018
518,518,7005
519,519,3888
520,520,1656
521,521,830
522,522,4055
523,523,4983
524,524,1818
525,525,1628
526,526,17231
527,527,3836
528,528,3823
529,529,4522
530,530,813
531,531,1069
532,532,4277
533,533,4478
534,534,2058
535,535,3352
536,536,2029
537,537,1931
538,538,2756
539,539,2597
540,540,1811
541,541,8166
542,542,17038
543,543,8631
544,544,1363
545,545,2714
546,546,4790
547,547,9401
548,548,5537
549,549,1788
550,550,1391
551,551,4120
552,552,759
553,553,634
554,554,11096
555,555,2735
556,556,10320
557,558,6228
558,559,2107
559,560,9145
560,561,1085
561,562,2455
562,563,4892
563,564,4788
564,565,6785
565,566,5548
566,567,4627
567,568,2382
568,569,2957
569,570,1625
570,571,17886
571,572,6159
572,573,4645
573,574,2177
574,575,1038
575,576,1175
576,577,3976
577,579,5200
578,580,389
579,581,809
580,582,387
581,583,8491
582,584,10906
583,585,4075
584,586,7163
585,587,1656
586,588,3846
587,589,2706
588,590,4695
589,591,1367
590,592,6424
591,593,10883
592,594,5306
593,595,1217
594,596,1058
595,597,7657
596,598,2532
597,599,3509
598,600,6398
599,601,2263
600,602,1629
601,603,8706
602,604,1042
603,605,6046
604,606,1170
605,607,5320
606,608,6863
607,609,8944
608,610,20997
609,611,6213
610,612,9469
611,613,5767
612,614,3109
613,615,1404
614,616,6142
615,617,1765
616,618,1035
617,619,1338
618,620,939
619,621,4262
620,622,2388
621,623,4704
622,624,373
623,625,16755
624,626,7632
625,627,1422
626,628,4118
627,629,5103
628,630,1347
629,631,1652
630,632,717
631,633,1198
632,634,3228
633,635,6035
634,636,6500
635,637,560
636,638,5664
637,639,7098
638,640,562
639,641,5488
640,642,5679
641,643,13877
642,644,2667
643,645,5063
644,646,5373
645,647,1615
646,648,537
647,649,3117
648,650,2046
649,651,1863
650,652,768
651,653,830
652,654,4190
653,655,7179
654,656,5312
655,657,10324
656,658,9938
657,659,2311
658,660,1536
659,661,2397
660,662,1647
661,663,4855
662,664,3319
663,665,9604
664,666,5851
665,667,5706
666,668,2037
667,669,2288
668,670,396
669,671,11259
670,672,23763
671,673,7843
672,674,6847
