,index,Ratio
0,0,1615
1,1,1230
2,2,648
3,3,1985
4,4,1251
5,5,1607
6,6,1192
7,7,7178
8,8,486
9,9,4401
10,10,2732
11,11,2742
12,12,2254
13,13,2288
14,14,3761
15,15,1459
16,16,2966
17,17,941
18,18,4999
19,19,1420
20,20,3210
21,21,2096
22,22,5415
23,23,2029
24,24,2196
25,25,1938
26,26,1398
27,27,574
28,28,612
29,29,1711
30,30,3537
31,31,1592
32,32,3642
33,33,531
34,34,4396
35,35,1051
36,36,12310
37,37,3709
38,38,1153
39,39,1064
40,40,292
41,41,3790
42,42,3652
43,43,1882
44,44,1744
45,45,3690
46,46,803
47,47,1120
48,48,301
49,49,385
50,50,3118
51,51,2369
52,52,2024
53,53,4903
54,54,1398
55,55,1116
56,56,974
57,57,2552
58,58,330
59,59,277
60,60,2789
61,61,1032
62,62,1486
63,63,952
64,64,2739
65,65,3790
66,66,2046
67,67,1315
68,68,6350
69,69,676
70,70,591
71,71,1123
72,72,11495
73,73,2019
74,74,743
75,75,2290
76,76,746
77,77,1451
78,78,4716
79,79,2230
80,80,911
81,81,2148
82,82,1533
83,83,1378
84,84,3340
85,85,1312
86,86,562
87,87,4047
88,88,1853
89,89,4664
90,90,3878
91,91,2402
92,92,4356
93,93,2142
94,94,920
95,95,2642
96,96,285
97,97,2638
98,98,977
99,99,3072
100,100,1459
101,101,857
102,102,4003
103,103,383
104,104,743
105,105,3879
106,106,1787
107,107,3180
108,108,1237
109,109,3168
110,110,677
111,111,696
112,112,1416
113,113,1369
114,114,2676
115,115,756
116,116,4561
117,117,4171
118,118,4325
119,119,4630
120,120,1915
121,121,708
122,122,449
123,123,1909
124,124,4684
125,125,2574
126,126,624
127,127,3295
128,128,6029
129,129,5002
130,130,1583
131,131,1622
132,132,3474
133,133,2076
134,134,2773
135,135,3218
136,136,834
137,137,1176
138,138,393
139,139,2945
140,140,1269
141,141,881
142,142,293
143,143,998
144,144,2246
145,145,1225
146,146,1839
147,147,1534
148,148,3585
149,149,1493
150,150,3811
151,151,1690
152,152,1986
153,153,2913
154,154,906
155,155,1794
156,156,3181
157,157,2665
158,158,990
159,159,5032
160,160,3062
161,161,638
162,162,357
163,163,2783
164,164,281
165,165,2494
166,166,786
167,167,3756
168,168,1022
169,169,3815
170,170,4191
171,171,579
172,172,714
173,173,1437
174,174,1239
175,175,946
176,176,1702
177,177,2604
178,178,284
179,179,1358
180,180,1739
181,181,357
182,182,2150
183,183,1837
184,184,344
185,185,1956
186,186,545
187,187,451
188,188,1905
189,189,4061
190,190,1040
191,191,2071
192,192,7397
193,193,1088
194,194,1351
195,195,3536
196,196,380
197,197,8466
198,198,3774
199,199,1182
200,200,1158
201,201,2607
202,202,2734
203,203,1923
204,204,2550
205,205,1014
206,206,4343
207,207,2184
208,208,2645
209,209,2447
210,210,2179
211,211,363
212,212,2996
213,213,1470
214,214,408
215,215,1265
216,216,3772
217,217,1426
218,218,2556
219,219,2505
220,220,1080
221,221,344
222,222,1745
223,223,10600
224,224,1824
225,225,870
226,226,1462
227,227,1208
228,228,260
229,229,2236
230,230,892
231,231,381
232,232,1289
233,233,351
234,234,2126
235,235,2003
236,236,697
237,237,2581
238,238,3056
239,239,1122
240,240,860
241,241,826
242,242,749
243,243,2548
244,244,350
245,245,2060
246,246,952
247,247,1544
248,248,296
249,249,4376
250,250,338
251,251,3459
252,252,1584
253,253,1756
254,254,811
255,255,871
256,256,2775
257,257,4860
258,258,2843
259,259,1664
260,260,5150
261,261,2046
262,262,1280
263,263,1473
264,264,2022
265,265,2198
266,266,1232
267,267,9604
268,268,2287
269,269,3401
270,270,1001
271,271,1308
272,272,1926
273,273,2004
274,274,1376
275,275,2459
276,276,299
277,277,8380
278,278,1225
279,279,980
280,280,731
281,281,2188
282,282,3007
283,283,1227
284,284,983
285,285,792
286,286,2373
