,index,Ratio
0,0,12409
1,1,13656
2,2,9812
3,3,7438
4,4,20105
5,5,18786
6,6,3421
7,7,1888
8,8,6948
9,9,6880
10,10,1265
11,11,880
12,12,18109
13,13,5419
14,14,8283
15,15,13834
16,16,307
17,17,296
18,18,8092
19,19,2081
20,20,29157
21,21,6672
22,22,25365
23,23,1300
24,24,13979
25,25,1195
26,26,11146
27,27,19207
28,28,388
29,29,567
30,30,22395
31,31,14545
32,32,6524
33,33,1354
34,34,5819
35,35,993
36,36,16890
37,37,13243
38,38,5186
39,39,655
40,40,4573
41,41,6193
42,42,3873
43,43,2109
44,44,4606
45,45,6697
46,46,2155
47,47,2314
48,48,8977
49,49,1104
50,50,1811
51,51,417
52,52,7157
53,53,9584
54,54,4398
55,55,10548
56,56,8027
57,57,947
58,58,16869
59,59,5147
60,60,27881
61,61,1111
62,62,4282
63,63,4618
64,64,12442
65,65,10354
66,66,2314
67,67,373
68,68,26587
69,69,10413
70,70,10809
71,71,503
72,72,14026
73,73,8435
74,75,2205
75,76,1703
76,77,2864
77,78,9570
78,79,6850
79,80,10054
80,81,14088
81,82,9242
82,83,4330
83,84,4511
84,85,2212
85,86,1160
86,87,4010
87,88,12616
88,89,13852
89,90,9930
90,91,10495
91,92,13498
92,93,1902
93,94,2174
94,95,20696
95,96,22266
96,97,4267
97,98,2476
98,99,3397
99,100,8450
100,101,3739
101,102,6439
102,103,6122
103,104,7507
104,105,28137
105,106,18221
106,107,2680
107,108,10528
108,109,2616
109,110,3459
110,111,1133
111,112,3782
112,113,869
113,115,18436
114,116,6352
115,117,965
116,118,10311
117,119,10776
118,120,18857
119,121,5964
120,122,13749
121,123,10677
122,124,1712
123,125,10818
124,126,14298
125,127,11859
126,128,24967
127,129,6353
128,130,1380
129,131,4178
130,132,1415
131,133,2375
132,134,8055
133,135,13642
134,136,14659
135,137,1259
136,138,1944
137,139,11707
138,140,7225
139,141,604
140,142,16133
141,143,6452
142,144,3252
143,145,581
144,146,1417
145,147,13463
146,148,7237
147,149,7014
148,150,582
149,151,3607
150,152,10680
151,153,8921
152,154,12874
153,155,6413
154,156,3687
155,157,1357
156,158,2703
157,159,2227
158,160,810
159,161,3990
160,162,8139
161,163,3110
162,164,2203
163,165,12347
164,166,7787
165,167,12034
166,168,2820
167,169,4132
168,170,5068
169,171,20002
170,172,11566
171,173,13413
172,174,1126
173,175,14637
174,176,14501
175,177,6278
176,178,11407
177,179,5436
178,180,6523
179,181,4272
180,182,12063
181,183,12703
182,184,8874
183,185,9177
184,186,931
185,187,9213
186,188,6845
187,189,4454
188,190,1554
189,191,27575
190,192,2624
191,193,18266
192,194,2727
193,195,6225
194,196,5075
195,197,13457
196,198,12882
197,199,16764
198,200,6087
199,201,6358
200,202,2264
201,203,3468
202,204,3625
203,205,3820
204,206,3969
205,207,7408
206,208,2944
207,209,19166
208,210,2191
209,211,22552
210,212,4069
211,213,1811
212,214,13686
213,215,7827
214,216,1106
215,217,2955
216,218,6517
217,219,15976
218,220,1057
219,221,15301
220,222,13908
221,223,2979
222,224,23534
223,225,595
224,226,5951
225,227,317
226,228,7601
227,229,3112
228,230,740
229,231,2456
230,232,5460
231,233,4165
232,234,5017
233,235,6770
234,236,5450
235,237,9147
236,238,8338
237,239,4122
238,240,6351
239,241,700
240,242,5297
241,243,9458
242,244,1233
243,245,4317
244,246,15854
245,247,5723
246,249,12230
247,250,5980
248,251,9039
249,252,4849
250,253,9073
251,254,1980
252,255,6897
253,256,3495
254,257,4598
255,258,3195
256,259,3261
257,260,25798
258,261,19534
259,262,9021
260,263,7125
261,264,1508
262,265,6168
263,266,10851
264,267,8215
265,268,2524
266,269,9257
267,270,24313
268,271,14890
269,272,2051
270,273,3001
271,274,2856
272,275,8317
273,276,15934
274,278,5087
275,279,4224
276,280,11132
277,281,13239
278,282,7125
279,283,4685
280,284,15876
281,285,2925
282,286,9298
283,287,2500
284,289,5002
285,290,6576
286,291,14248
287,292,9944
288,293,15168
289,294,4893
290,295,3006
291,296,10596
292,297,7787
293,298,20585
294,299,3508
295,300,11225
296,301,1632
297,302,1552
298,303,5305
299,304,1277
300,305,4981
301,306,10098
302,307,5063
303,308,1547
304,309,1831
305,310,3224
306,311,1435
307,312,14025
308,313,8122
309,314,7978
310,315,23821
311,316,7490
312,317,597
313,318,3280
314,319,3073
315,320,11599
316,321,3083
317,322,17305
318,323,14832
319,324,3266
320,325,1700
321,326,10795
322,327,2675
323,328,10656
324,329,3066
325,330,1797
326,331,5051
327,332,13339
328,333,10026
329,334,3488
330,335,1276
331,336,4620
332,337,10239
333,338,1871
334,339,3305
335,340,4515
336,341,10016
337,342,18024
338,343,6026
339,344,10102
340,345,2032
341,346,16394
342,347,21687
343,348,786
344,349,8803
345,350,6626
346,351,1598
347,352,4898
348,353,1676
349,354,10670
350,355,1713
351,356,3809
352,357,14116
353,358,3129
354,359,3712
355,360,4858
356,361,18958
357,362,1250
358,363,15014
359,364,5205
360,365,1532
361,366,4840
362,367,8790
363,368,1343
364,369,5418
365,370,1882
366,371,11079
367,372,3035
368,373,2865
369,374,6644
370,375,862
371,376,17772
372,377,2833
373,378,11596
374,379,13951
375,380,11575
376,381,13513
377,382,6209
378,383,3560
379,384,551
380,385,7611
381,386,20761
382,387,2444
383,388,6043
384,389,3587
385,390,733
386,391,19714
387,392,2706
388,393,5615
389,394,8680
390,395,13011
391,396,3819
392,397,9820
393,398,14783
394,399,13076
395,400,9752
396,401,9403
397,402,1298
398,403,7707
399,404,19420
400,405,1241
401,406,3022
402,407,19315
403,408,2306
404,409,10545
405,410,1615
406,411,745
407,412,1406
408,413,1295
409,414,1764
410,415,16962
411,416,12738
412,417,13774
413,418,1324
414,419,3258
415,420,2661
416,421,2500
417,422,16658
418,423,1238
419,424,7508
420,425,1068
421,426,6294
422,427,6467
423,428,17754
424,429,12535
425,430,2367
426,431,32246
427,432,4820
428,433,769
429,434,858
430,435,4916
431,436,1066
432,437,2774
433,438,9437
434,439,5047
435,440,5057
436,441,8604
437,442,746
438,443,5828
439,444,4316
440,445,3259
441,446,1116
442,447,5855
443,448,9563
444,449,1979
445,450,1671
446,451,1452
447,452,21105
448,453,9298
449,454,2481
450,455,6706
451,456,5220
452,457,7624
453,458,6785
454,459,5393
455,460,3814
456,461,12707
457,462,7307
458,463,9333
459,464,11486
460,465,2355
461,466,4998
462,467,13877
463,468,9681
464,469,8506
465,470,22820
466,471,1860
467,472,8842
468,473,1392
469,474,1506
470,475,1482
471,476,10064
472,477,1647
473,478,6157
474,479,13937
475,480,4452
476,481,3131
477,482,4871
478,483,1395
479,484,1999
480,485,20803
481,486,2858
482,487,6146
483,488,3010
484,489,32675
485,490,1888
486,491,2140
487,492,5884
488,493,5833
489,494,10954
490,495,395
491,496,3366
492,497,15350
493,498,5331
494,499,2786
495,500,411
496,501,8517
497,502,3740
498,503,15600
499,504,12358
500,505,1269
501,506,7847
502,507,681
503,508,313
504,509,7992
505,510,7774
506,511,3310
507,512,7950
508,513,2893
509,514,9180
510,515,52605
511,516,3282
512,517,16610
513,518,3156
514,519,1794
515,520,4993
516,521,30475
517,522,10890
518,523,11989
519,524,2234
520,525,8536
521,526,752
522,527,9376
523,528,2086
524,529,4707
525,530,12061
526,531,8777
527,532,12329
528,533,8359
529,534,2214
530,535,2854
531,536,2898
532,537,6122
533,538,2390
534,539,2692
535,540,8510
536,541,6169
