PeakID (cmd=annotatePeaks.pl /home/qukun/minghaofang/workspace/project/ecc/paper_data_final/03.analysis/cresil/EJM/ecc_pipe_result/cresil_result.analysis.bed hg38)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
9.09-5	chr19	34198064	34198502	+	4675	NA	intron (NM_001114093, intron 3 of 10).2	L1MC5|LINE|L1	25779	NM_001114093	26065	Hs.744009	NM_015578	ENSG00000257103	LSM14A	C19orf13|FAM61A|RAP55|RAP55A	LSM14A mRNA processing body assembly factor	protein-coding
6.06-2	chr8	79858735	79859069	+	4674	NA	intron (NR_110954, intron 2 of 5)	AluSx1|SINE|Alu	12835	NR_110954	101927040	Hs.350876	NR_110954	ENSG00000249328	LOC101927040	-	uncharacterized LOC101927040	ncRNA
5.99-16	chr3	100335028	100335359	+	4673	NA	intron (NM_020202, intron 1 of 9)	intron (NM_020202, intron 1 of 9)	436	NM_020202	56954	Hs.439152	NM_020202	ENSG00000114021	NIT2	HEL-S-8a	nitrilase family member 2	protein-coding
6.96-3	chr1	7494312	7494716	+	4672	NA	intron (NM_001349608, intron 5 of 21)	intron (NM_001349608, intron 5 of 21)	-104760	NR_146199	102725193	Hs.666120	NR_146199	ENSG00000237728	LOC102725193	-	uncharacterized LOC102725193	ncRNA
5.91-13	chr3	163655264	163655861	+	4671	NA	Intergenic	MER49|LTR|ERV1	-352261	NR_033945	647107	Hs.408584	NR_033945	ENSG00000241369	LINC01192	CT64	long intergenic non-protein coding RNA 1192	ncRNA
5.95-14	chr10	107383981	107384344	+	4670	NA	Intergenic	AluSx|SINE|Alu	-219456	NM_001206570	114815	Hs.591915	NM_052918	ENSG00000108018	SORCS1	hSorCS	sortilin related VPS10 domain containing receptor 1	protein-coding
8.03-3	chr7	77788295	77788885	+	4669	NA	Intergenic	Intergenic	9844	NM_032936	85025	Hs.19025	NM_032936	ENSG00000135211	TMEM60	C7orf35|DC32	transmembrane protein 60	protein-coding
9.93-2	chr4	153591597	153591968	+	4668	NA	intron (NM_001131007, intron 17 of 34)	intron (NM_001131007, intron 17 of 34)	-48386	NR_134873	100419170	Hs.382102	NR_134873	ENSG00000250771	LOC100419170	-	toll like receptor 2 pseudogene	pseudo
5.79-3	chr4	6935352	6935810	+	4667	NA	intron (NM_020773, intron 2 of 13)	(CT)n|Simple_repeat|Simple_repeat	-18585	NM_001330638	57533	Hs.518611	NM_020773	ENSG00000132405	TBC1D14	-	TBC1 domain family member 14	protein-coding
9.9-4	chr16	78982510	78982894	+	4666	NA	intron (NM_001291997, intron 7 of 7)	intron (NM_001291997, intron 7 of 7)	618035	NM_001031804	4094	Hs.134859	NM_005360	ENSG00000178573	MAF	AYGRP|CCA4|CTRCT21|c-MAF	MAF bZIP transcription factor	protein-coding
10.4-2	chr6	902839	903473	+	4665	NA	Intergenic	Intergenic	34658	NR_110853	101927691	Hs.552556	NR_110853		LOC101927691	-	uncharacterized LOC101927691	ncRNA
11.18	chr3	185195230	185195742	+	4664	NA	intron (NM_001966, intron 6 of 6)	L1PA17|LINE|L1	32585	NR_038990	339926	Hs.567848	NR_038990	ENSG00000223358	EHHADH-AS1	-	EHHADH antisense RNA 1	ncRNA
4.68	chr6	88777439	88778217	+	4663	NA	intron (NM_001286428, intron 10 of 13)	L1MA9|LINE|L1	185790	NM_001286428	8732	Hs.567378	NM_003800	ENSG00000111880	RNGTT	CAP1A|HCE|HCE1|hCAP	RNA guanylyltransferase and 5'-phosphatase	protein-coding
9.38-4	chr5	36544781	36545231	+	4662	NA	Intergenic	L1P4|LINE|L1	-61349	NM_001166696	6507	Hs.481918	NM_004172	ENSG00000079215	SLC1A3	EA6|EAAT1|GLAST|GLAST1	solute carrier family 1 member 3	protein-coding
16.43-5	chrX	46674894	46675092	+	4661	NA	intron (NM_001257291, intron 3 of 16)	intron (NM_001257291, intron 3 of 16)	84125	NM_032591	84679	Hs.91389	NM_032591	ENSG00000065923	SLC9A7	MRX108|NHE-7|NHE7|SLC9A6	solute carrier family 9 member A7	protein-coding
21.22	chr17	22711776	22711983	+	4660	NA	Intergenic	Intergenic	188768	NM_001190452	100462977	Hs.740185	NM_001190452	ENSG00000256618	MTRNR2L1	HN1	MT-RNR2 like 1	protein-coding
13.58	chr2	26259018	26259395	+	4659	NA	intron (NM_001281512, intron 3 of 14)	LTR22A|LTR|ERVK	14267	NM_001281513	3032	Hs.515848	NM_000183	ENSG00000138029	HADHB	ECHB|MSTP029|MTPB|TP-BETA	hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit beta	protein-coding
5.85-15	chr7	39154605	39154962	+	4658	NA	intron (NM_001370959, intron 2 of 9)	intron (NM_001370959, intron 2 of 9)	-141216	NR_138047	100689074	Hs.675876	NR_138047		POU6F2-AS2	-	POU6F2 antisense RNA 2	ncRNA
7.91-5	chr7	66095751	66096577	+	4657	NA	Intergenic	AluSq10|SINE|Alu	-18654	NM_001040648	27297	Hs.300684	NM_014478	ENSG00000241258	CRCP	CGRP-RCP|CGRPRCP|RCP|RCP9|RPC9	CGRP receptor component	protein-coding
9.63-2	chr3	41276077	41276288	+	4656	NA	intron (NR_136342, intron 33 of 34)	intron (NR_136342, intron 33 of 34)	76677	NM_001904	1499	Hs.476018	NM_001904	ENSG00000168036	CTNNB1	CTNNB|EVR7|MRD19|NEDSDV|armadillo	catenin beta 1	protein-coding
22.0-2	chr12	53949120	53949465	+	4655	NA	Intergenic	Intergenic	-5611	NM_173860	3228	Hs.381267	NM_173860	ENSG00000123407	HOXC12	HOC3F|HOX3|HOX3F	homeobox C12	protein-coding
17.35-2	chr7	74225711	74226067	+	4654	NA	intron (NM_032463, intron 13 of 13)	L2a|LINE|L2	15883	NM_014146	7462	Hs.741249	NM_014146	ENSG00000086730	LAT2	HSPC046|LAB|NTAL|WBSCR15|WBSCR5|WSCR5	linker for activation of T cells family member 2	protein-coding
11.37-2	chr1	110973106	110973786	+	4653	NA	Intergenic	MLT2B3|LTR|ERVL	-9502	NM_001006945	55791	Hs.25245	NM_018372	ENSG00000121931	LRIF1	C1orf103|HBiX1|RIF1	ligand dependent nuclear receptor interacting factor 1	protein-coding
9.94-2	chr16	72358184	72358767	+	4652	NA	intron (NR_126330, intron 8 of 13)	intron (NR_126330, intron 8 of 13)	-186025	NM_001160213	83449	Hs.714939	NM_031293	ENSG00000118557	PMFBP1	SPGF31|STAP	polyamine modulated factor 1 binding protein 1	protein-coding
