id	merge_region	merge_len	num_region	eccdna_status	numreads	totalbase	coverage	consensus_len	consensus_status
ec1	chr14:78083074-78095482_+	12409	1	cyclic	297	930377	74.98	0	Unknown
ec2	chr1:101394595-101408250_+	13656	1	cyclic	27	78178	5.72	0	Unknown
ec3	chr8:102788003-102797814_+	9812	1	cyclic	34	81445	8.30	0	Unknown
ec4	chr11:52380163-52387600_+	7438	1	cyclic	118	463436	62.31	0	Unknown
ec5	chr3:115077470-115097574_+	20105	1	cyclic	57	145017	7.21	0	Unknown
ec6	chr19:13182978-13201763_+	18786	1	cyclic	179	495712	26.39	0	Unknown
ec7	chr19:17326988-17330408_+	3421	1	cyclic	14	28867	8.44	0	Unknown
ec8	chr6:119922819-119924706_+	1888	1	cyclic	2	14782	7.83	0	Unknown
ec9	chr1:4816299-4823246_+	6948	1	cyclic	43	190167	27.37	0	Unknown
ec10	chr10:41836073-41842952_+	6880	1	cyclic	206	613444	89.16	0	Unknown
ec11	chr8:70294055-70295319_+	1265	1	cyclic	13	23880	18.88	0	Unknown
ec12	chr18:23087681-23088560_+	880	1	cyclic	15	32769	37.24	0	Unknown
ec13	chr14:120439175-120457283_+	18109	1	cyclic	48	155791	8.60	0	Unknown
ec14	chr19:43759774-43765192_+	5419	1	cyclic	57	160442	29.61	0	Unknown
ec15	chr15:23891795-23900077_+	8283	1	cyclic	72	216308	26.11	0	Unknown
ec16	chr3:23616227-23630060_+	13834	1	cyclic	38	108036	7.81	0	Unknown
ec17	chr4:137772085-137772391_+	307	1	cyclic	1	3603	11.74	0	Unknown
ec18	chr11:108916366-108916661_+	296	1	cyclic	83	239810	810.17	0	Unknown
ec19	chr15:91356450-91364541_+	8092	1	cyclic	75	230850	28.53	0	Unknown
ec20	chr11:70688910-70690990_+	2081	1	cyclic	17	42250	20.30	0	Unknown
ec21	chr15:45325800-45354956_+	29157	1	cyclic	662	1879775	64.47	0	Unknown
ec22	chr15:75938673-75945344_+	6672	1	cyclic	62	170636	25.57	0	Unknown
ec23	chr18:39581201-39606565_+	25365	1	cyclic	296	1122437	44.25	0	Unknown
ec24	chr5:112658104-112659403_+	1300	1	cyclic	9	12593	9.69	0	Unknown
ec25	chr16:88882469-88896447_+	13979	1	cyclic	29	77613	5.55	0	Unknown
ec26	chr15:98020567-98021761_+	1195	1	cyclic	48	166954	139.71	0	Unknown
ec27	chr14:41311888-41323033_+	11146	1	cyclic	79	194109	17.42	0	Unknown
ec28	chr18:7872438-7891644_+	19207	1	cyclic	558	1796649	93.54	0	Unknown
ec29	chr15:81870448-81870835_+	388	1	cyclic	3	3379	8.71	0	Unknown
ec30	chr1:17825500-17826066_+	567	1	cyclic	15	76510	134.94	0	Unknown
ec31	chr2:119761926-119784320_+	22395	1	cyclic	134	429971	19.20	0	Unknown
ec32	chr16:39941343-39955887_+	14545	1	cyclic	110	217845	14.98	0	Unknown
ec33	chr11:43912706-43919229_+	6524	1	cyclic	97	260079	39.86	0	Unknown
ec34	chr2:125446056-125447409_+	1354	1	cyclic	86	204962	151.38	0	Unknown
ec35	chr13:98132692-98138510_+	5819	1	cyclic	26	95142	16.35	0	Unknown
ec36	chr5:107315854-107316846_+	993	1	cyclic	5	21421	21.57	0	Unknown
ec37	chr17:6792494-6809383_+	16890	1	cyclic	182	721303	42.71	0	Unknown
ec38	chr18:77152291-77165533_+	13243	1	cyclic	506	1534937	115.91	0	Unknown
ec39	chr18:34601527-34606712_+	5186	1	cyclic	11	45767	8.83	0	Unknown
ec40	chr2:79996292-79996946_-	655	1	cyclic	3	7473	11.41	0	Unknown
ec41	chrX:70457888-70462460_+	4573	1	cyclic	76	179310	39.21	0	Unknown
ec42	chr18:71373995-71380187_+	6193	1	cyclic	27	114133	18.43	0	Unknown
ec43	chr11:59789987-59793859_+	3873	1	cyclic	55	131263	33.89	0	Unknown
ec44	chr5:21297967-21300075_+	2109	1	cyclic	73	173278	82.16	0	Unknown
ec45	chr7:133675686-133680291_+	4606	1	cyclic	52	129646	28.15	0	Unknown
ec46	chr17:5158709-5165405_+	6697	1	cyclic	47	112487	16.80	0	Unknown
ec47	chr7:80999300-81001454_+	2155	1	cyclic	16	37423	17.37	0	Unknown
ec48	chr9:94145777-94148090_+	2314	1	cyclic	21	44576	19.26	0	Unknown
ec49	chr15:37035853-37044829_+	8977	1	cyclic	31	106179	11.83	0	Unknown
ec50	chr2:151529270-151530373_+	1104	1	cyclic	7	13351	12.09	0	Unknown
ec51	chr3:87685559-87687369_+	1811	1	cyclic	6	14762	8.15	0	Unknown
ec52	chr2:11249381-11249797_+	417	1	cyclic	640	1738483	4169.02	0	Unknown
ec53	chr1:140998451-141005607_+	7157	1	cyclic	359	1051830	146.97	0	Unknown
ec54	chr6:77961475-77971058_+	9584	1	cyclic	21	52910	5.52	0	Unknown
ec55	chrX:142377164-142381561_+	4398	1	cyclic	35	88122	20.04	0	Unknown
ec56	chr2:145396817-145407364_+	10548	1	cyclic	30	99914	9.47	0	Unknown
ec57	chr7:135024026-135032052_+	8027	1	cyclic	13	33095	4.12	0	Unknown
ec58	chr9:80631595-80632541_+	947	1	cyclic	70	205800	217.32	0	Unknown
ec59	chr12:79071057-79087925_+	16869	1	cyclic	296	1226177	72.69	0	Unknown
ec60	chr14:67311974-67317120_+	5147	1	cyclic	30	56393	10.96	0	Unknown
ec61	chr11:94622852-94650732_+	27881	1	cyclic	57	219586	7.88	0	Unknown
ec62	chr6:109290602-109291712_+	1111	1	cyclic	5	13442	12.10	0	Unknown
ec63	chr4:74473242-74477523_+	4282	1	cyclic	6	18493	4.32	0	Unknown
ec64	chr7:49299893-49304510_-	4618	1	cyclic	6	14220	3.08	0	Unknown
ec65	chr3:28027600-28040041_+	12442	1	cyclic	236	875646	70.38	0	Unknown
ec66	chr10:21337530-21347883_+	10354	1	cyclic	169	532721	51.45	0	Unknown
ec67	chr7:56429392-56431705_+	2314	1	cyclic	21	34003	14.69	0	Unknown
ec68	chr2:91253393-91253765_+	373	1	cyclic	3	9671	25.93	0	Unknown
ec69	chr13:54836958-54863544_+	26587	1	cyclic	59	213081	8.01	0	Unknown
ec70	chr4:134916501-134926913_+	10413	1	cyclic	121	342706	32.91	0	Unknown
ec71	chr14:39336821-39347629_+	10809	1	cyclic	41	129269	11.96	0	Unknown
ec72	chr5:99880023-99880525_+	503	1	cyclic	17	25003	49.71	0	Unknown
ec73	chr2:154453626-154467651_+	14026	1	cyclic	465	1522450	108.54	0	Unknown
ec74	chr10:129920363-129928797_+	8435	1	cyclic	29	89129	10.57	0	Unknown
ec75	chr15:80893676-80894224_+,chr15:80882490-80884705_+	2765	2	non-cyclic	8	23683	8.57	0	Unknown
ec76	chr3:145881664-145883868_+	2205	1	cyclic	36	105732	47.95	0	Unknown
ec77	chr1:79627153-79628855_+	1703	1	cyclic	12	22089	12.97	0	Unknown
ec78	chr18:68303896-68306759_-	2864	1	cyclic	7	19108	6.67	0	Unknown
ec79	chr15:53203201-53212770_+	9570	1	cyclic	19	65563	6.85	0	Unknown
ec80	chr15:77750243-77757092_+	6850	1	cyclic	295	828139	120.90	0	Unknown
ec81	chr15:97524783-97534836_+	10054	1	cyclic	84	217708	21.65	0	Unknown
ec82	chr5:80805741-80819828_+	14088	1	cyclic	68	156349	11.10	0	Unknown
ec83	chr2:130487744-130496985_+	9242	1	cyclic	21	99924	10.81	0	Unknown
ec84	chr9:99278138-99282467_+	4330	1	cyclic	55	132449	30.59	0	Unknown
ec85	chr1:160734417-160738927_+	4511	1	cyclic	14	21246	4.71	0	Unknown
ec86	chr1:192346496-192348707_+	2212	1	cyclic	45	121102	54.75	0	Unknown
ec87	chr15:97350235-97351394_-	1160	1	cyclic	8	8213	7.08	0	Unknown
ec88	chr11:14761539-14765548_+	4010	1	cyclic	36	104875	26.15	0	Unknown
ec89	chr6:27111055-27123670_+	12616	1	cyclic	88	301715	23.92	0	Unknown
ec90	chr16:30813122-30826973_+	13852	1	cyclic	72	219688	15.86	0	Unknown
ec91	chrX:138970811-138980740_+	9930	1	cyclic	145	471082	47.44	0	Unknown
ec92	chr14:64194112-64204606_+	10495	1	cyclic	154	460469	43.88	0	Unknown
ec93	chr8:92329493-92342990_+	13498	1	cyclic	56	205059	15.19	0	Unknown
ec94	chr11:67613971-67615872_+	1902	1	cyclic	110	304763	160.23	0	Unknown
ec95	chrX:136543734-136545907_+	2174	1	cyclic	55	259205	119.23	0	Unknown
ec96	chr2:141427722-141448417_+	20696	1	cyclic	721	2100311	101.48	0	Unknown
ec97	chr5:75186902-75209167_+	22266	1	cyclic	556	2426856	108.99	0	Unknown
ec98	chr5:29698442-29702708_+	4267	1	cyclic	158	352740	82.67	0	Unknown
ec99	chr18:66991374-66993849_+	2476	1	cyclic	316	808286	326.45	0	Unknown
ec100	chrX:74205026-74208422_+	3397	1	cyclic	27	77796	22.90	0	Unknown
ec101	chr11:20321015-20329464_+	8450	1	cyclic	120	280109	33.15	0	Unknown
ec102	chr19:4564130-4567868_+	3739	1	cyclic	11	39588	10.59	0	Unknown
ec103	chr3:98422700-98429138_+	6439	1	cyclic	10	34737	5.39	0	Unknown
ec104	chr6:8883591-8889712_+	6122	1	cyclic	22	65074	10.63	0	Unknown
ec105	chr1:136631801-136639307_+	7507	1	cyclic	31	64025	8.53	0	Unknown
ec106	chr18:43004032-43025223_+,chr18:42989767-42996711_+	28137	2	cyclic	535	1683459	59.83	0	Unknown
ec107	chr1:145891739-145909959_+	18221	1	cyclic	82	214199	11.76	0	Unknown
ec108	chr2:30728802-30731481_+	2680	1	cyclic	7	14885	5.55	0	Unknown
ec109	chr8:66758553-66769080_+	10528	1	cyclic	306	803077	76.28	0	Unknown
ec110	chr16:47123375-47125990_+	2616	1	cyclic	197	469376	179.43	0	Unknown
ec111	chrX:40090635-40094093_+	3459	1	cyclic	84	236482	68.37	0	Unknown
ec112	chr12:105994293-105995425_+	1133	1	cyclic	15	19802	17.48	0	Unknown
ec113	chr13:56179799-56183580_+	3782	1	cyclic	25	64739	17.12	0	Unknown
ec114	chr8:32134857-32135725_+	869	1	cyclic	145	355755	409.38	0	Unknown
ec115	chr16:81027945-81028303_+,chr11:34204049-34204634_+	945	2	non-cyclic	38	44271	46.85	0	Unknown
ec116	chrX:47604231-47622666_+	18436	1	cyclic	134	449436	24.38	0	Unknown
ec117	chr6:16878787-16885138_+	6352	1	cyclic	149	376987	59.35	0	Unknown
ec118	chr10:23939999-23940963_+	965	1	cyclic	17	20128	20.86	0	Unknown
ec119	chr1:146001663-146011973_+	10311	1	cyclic	27	94735	9.19	0	Unknown
ec120	chr11:43271164-43281939_+	10776	1	cyclic	223	638206	59.22	0	Unknown
ec121	chr12:30604757-30623613_+	18857	1	cyclic	86	256115	13.58	0	Unknown
ec122	chr5:16146735-16152698_+	5964	1	cyclic	13	50191	8.42	0	Unknown
ec123	chr14:21521889-21535637_+	13749	1	cyclic	46	106103	7.72	0	Unknown
ec124	chr6:118700739-118711415_+	10677	1	cyclic	206	590496	55.31	0	Unknown
ec125	chr5:140696012-140696939_+,chr4:38200465-38201248_+	1712	2	cyclic	43	114293	66.76	0	Unknown
ec126	chr1:186229138-186239955_+	10818	1	cyclic	77	174138	16.10	0	Unknown
ec127	chr17:68371899-68386196_+	14298	1	cyclic	88	308738	21.59	0	Unknown
ec128	chr17:34425084-34436942_+	11859	1	cyclic	143	504465	42.54	0	Unknown
ec129	chr3:107874142-107899108_+	24967	1	cyclic	263	994424	39.83	0	Unknown
ec130	chr12:22100080-22106432_+	6353	1	cyclic	63	173053	27.24	0	Unknown
