	Chr	Start	End	Count	eccID	Length
23	chr1	1056709	1057382	49	24	674
24	chr1	1070023	1070590	48	25	568
26	chr1	1085650	1085983	22	27	334
27	chr1	1087265	1087780	27	28	516
28	chr1	1104302	1104938	56	29	637
37	chr1	1185190	1185781	42	38	592
46	chr1	1254487	1257054	32	47	2568
56	chr1	1306883	1307235	127	57	353
64	chr1	1397660	1398489	17	65	830
65	chr1	1403141	1406601	44	66	3461
66	chr1	1422575	1423573	16	67	999
80	chr1	1544672	1546725	25	81	2054
83	chr1	1552744	1554841	18	84	2098
84	chr1	1561823	1562423	41	85	601
88	chr1	1610828	1613465	31	89	2638
101	chr1	1683999	1684358	47	102	360
108	chr1	1763054	1764532	16	109	1479
117	chr1	1888438	1888947	22	118	510
122	chr1	1935870	1937932	25	123	2063
134	chr1	1976119	1977250	67	135	1132
136	chr1	1981979	1982387	14	137	409
144	chr1	2015691	2016047	14	145	357
145	chr1	2054259	2054929	64	146	671
153	chr1	2109418	2109600	10	154	183
155	chr1	2125865	2126337	39	156	473
160	chr1	2149308	2151472	28	161	2165
168	chr1	2172995	2173907	15	169	913
170	chr1	2176328	2177778	48	171	1451
175	chr1	2206826	2208034	18	176	1209
182	chr1	2229404	2229797	12	183	394
185	chr1	2248009	2248592	52	186	584
188	chr1	2269964	2270501	17	189	538
191	chr1	2294610	2295210	57	192	601
194	chr1	2299253	2300100	22	195	848
197	chr1	2307842	2309266	17	198	1425
205	chr1	2383976	2386030	28	206	2055
211	chr1	2402096	2403473	40	212	1378
213	chr1	2405670	2406654	13	214	985
222	chr1	2873298	2874419	11	223	1122
223	chr1	2875393	2875787	45	224	395
224	chr1	2887870	2888202	16	225	333
228	chr1	2962153	2963613	27	229	1461
234	chr1	2984393	2985136	17	235	744
265	chr1	3255853	3256627	148	266	775
269	chr1	3276952	3277306	109	270	355
270	chr1	3289924	3290272	36	271	349
277	chr1	3321325	3322215	32	278	891
283	chr1	3337807	3338677	68	284	871
284	chr1	3338140	3338848	64	285	709
286	chr1	3347309	3347647	26	287	339
288	chr1	3388330	3388855	24	289	526
298	chr1	3452855	3453451	23	299	597
299	chr1	3470134	3470589	10	300	456
300	chr1	3470326	3470637	9	301	312
328	chr1	3609622	3610207	20	329	586
331	chr1	3615311	3616441	26	332	1131
332	chr1	3649567	3650209	18	333	643
347	chr1	3789853	3790633	39	348	781
350	chr1	3825146	3825548	26	351	403
357	chr1	3925116	3925863	38	358	748
363	chr1	3966463	3967067	72	364	605
365	chr1	3970484	3971833	27	366	1350
375	chr1	4061059	4062039	75	376	981
392	chr1	4093398	4093628	26	393	231
393	chr1	4106351	4108540	36	394	2190
397	chr1	4127539	4128069	90	398	531
398	chr1	4131024	4131545	11	399	522
406	chr1	4170281	4171216	45	407	936
411	chr1	4214949	4215475	40	412	527
414	chr1	4222140	4222859	26	415	720
416	chr1	4224924	4225601	63	417	678
421	chr1	4323771	4324979	37	422	1209
427	chr1	4353803	4354608	40	428	806
433	chr1	4407621	4408850	42	434	1230
450	chr1	4568416	4569347	61	451	932
458	chr1	4627413	4628330	56	459	918
470	chr1	4719990	4721224	39	471	1235
474	chr1	4721075	4721815	26	475	741
476	chr1	4737172	4742131	14	477	4960
479	chr1	4743715	4744244	11	480	530
484	chr1	4774180	4775766	24	485	1587
497	chr1	5138214	5139927	23	498	1714
503	chr1	5295040	5297233	17	504	2194
513	chr1	5448827	5449652	102	514	826
517	chr1	5459087	5459888	14	518	802
520	chr1	5472902	5478134	42	521	5233
533	chr1	5593974	5594975	30	534	1002
534	chr1	5595539	5597151	12	535	1613
536	chr1	5595540	5597151	20	537	1612
537	chr1	5595799	5596953	10	538	1155
540	chr1	5600313	5601075	72	541	763
543	chr1	5671099	5671710	39	544	612
544	chr1	5705864	5707147	64	545	1284
560	chr1	5832761	5833443	114	561	683
561	chr1	5834699	5834896	40	562	198
566	chr1	5872064	5873045	18	567	982
574	chr1	5987765	5991550	52	575	3786
578	chr1	5995333	5996543	64	579	1211
579	chr1	6013979	6014724	35	580	746
580	chr1	6014143	6014703	16	581	561
585	chr1	6025638	6026192	18	586	555
595	chr1	6112248	6113063	57	596	816
598	chr1	6133486	6133869	28	599	384
605	chr1	6157987	6158653	20	606	667
613	chr1	6168778	6169538	93	614	761
632	chr1	6222482	6223792	39	633	1311
634	chr1	6241108	6241398	25	635	291
637	chr1	6267676	6268214	16	638	539
644	chr1	6296865	6298612	22	645	1748
647	chr1	6308801	6309425	58	648	625
651	chr1	6324950	6326147	29	652	1198
677	chr1	6483972	6484526	72	678	555
682	chr1	6510720	6511700	88	683	981
684	chr1	6511508	6512272	56	685	765
692	chr1	6561135	6562954	17	693	1820
698	chr1	6587098	6587832	34	699	735
700	chr1	6596037	6597244	16	701	1208
702	chr1	6596509	6599212	44	703	2704
703	chr1	6597000	6597313	15	704	314
704	chr1	6599020	6599224	52	705	205
707	chr1	6600155	6601016	74	708	862
711	chr1	6627980	6628403	24	712	424
712	chr1	6631531	6632867	24	713	1337
725	chr1	6722950	6724366	25	726	1417
733	chr1	6912611	6913357	27	734	747
743	chr1	6984572	6988283	36	744	3712
757	chr1	7054031	7054421	11	758	391
758	chr1	7065898	7066877	29	759	980
761	chr1	7103388	7104026	27	762	639
767	chr1	7120508	7123656	66	768	3149
770	chr1	7146907	7148267	16	771	1361
773	chr1	7233568	7236443	61	774	2876
775	chr1	7247797	7248399	89	776	603
790	chr1	7408583	7409561	42	791	979
796	chr1	7433016	7433234	39	797	219
797	chr1	7446674	7447278	32	798	605
801	chr1	7471762	7472305	19	802	544
803	chr1	7473522	7474215	92	804	694
806	chr1	7518360	7518987	29	807	628
807	chr1	7526659	7529413	77	808	2755
808	chr1	7527061	7527591	16	809	531
809	chr1	7538761	7539715	57	810	955
814	chr1	7555198	7558019	17	815	2822
846	chr1	7657977	7659866	28	847	1890
857	chr1	7743363	7743702	24	858	340
862	chr1	7860142	7861222	13	863	1081
869	chr1	8004744	8005549	13	870	806
888	chr1	8170904	8171368	38	889	465
902	chr1	8281998	8283937	13	903	1940
925	chr1	8407073	8408163	18	926	1091
926	chr1	8430940	8431301	18	927	362
959	chr1	9002336	9004772	22	960	2437
960	chr1	9002411	9005055	48	961	2645
962	chr1	9014186	9014748	93	963	563
970	chr1	9078810	9079755	40	971	946
973	chr1	9084976	9087056	14	974	2081
975	chr1	9099218	9100133	14	976	916
1007	chr1	9272090	9272662	27	1008	573
1008	chr1	9295520	9296174	10	1009	655
1011	chr1	9316582	9317219	46	1012	638
1017	chr1	9336602	9336992	19	1018	391
1018	chr1	9336602	9337000	28	1019	399
1031	chr1	9375721	9376298	122	1032	578
1035	chr1	9386007	9386647	67	1036	641
1044	chr1	9422831	9423609	20	1045	779
1052	chr1	9591208	9592370	15	1053	1163
1054	chr1	9593713	9594134	104	1055	422
1056	chr1	9601378	9601911	10	1057	534
1059	chr1	9627227	9627899	42	1060	673
1062	chr1	9670840	9672653	11	1063	1814
1067	chr1	9723603	9725108	48	1068	1506
1070	chr1	9733903	9735633	69	1071	1731
1071	chr1	9734117	9735109	14	1072	993
1083	chr1	9808880	9809990	22	1084	1111
1086	chr1	9824265	9825167	35	1087	903
1090	chr1	9825479	9827180	18	1091	1702
1100	chr1	9866989	9867613	16	1101	625
1108	chr1	9890253	9891107	50	1109	855
1136	chr1	10377424	10379186	25	1137	1763
1144	chr1	10416207	10417990	14	1145	1784
1150	chr1	10448679	10449359	12	1151	681
1164	chr1	10616864	10618168	15	1165	1305
1170	chr1	10642944	10645043	12	1171	2100
1171	chr1	10644786	10645226	34	1172	441
1172	chr1	10661256	10662224	53	1173	969
1173	chr1	10661645	10662610	54	1174	966
1174	chr1	10661890	10662194	35	1175	305
1177	chr1	10695640	10696749	21	1178	1110
1184	chr1	10773071	10775170	13	1185	2100
1194	chr1	10823632	10825985	21	1195	2354
1198	chr1	10832950	10834196	22	1199	1247
1205	chr1	10854134	10855745	13	1206	1612
1234	chr1	11039472	11041415	20	1235	1944
1235	chr1	11039517	11041454	20	1236	1938
1242	chr1	11040798	11042332	25	1243	1535
1246	chr1	11041737	11042297	42	1247	561
1247	chr1	11041818	11042393	21	1248	576
1259	chr1	11179446	11179739	40	1260	294
1260	chr1	11188906	11189820	16	1261	915
1261	chr1	11246571	11247476	24	1262	906
1267	chr1	11294435	11296243	79	1268	1809
1277	chr1	11357435	11359302	82	1278	1868
1282	chr1	11400026	11400893	14	1283	868
1288	chr1	11487178	11487860	45	1289	683
1296	chr1	11527828	11528637	20	1297	810
1307	chr1	11620697	11621859	19	1308	1163
1311	chr1	11622518	11623563	18	1312	1046
1314	chr1	11641522	11642253	27	1315	732
1315	chr1	11641767	11642630	42	1316	864
1318	chr1	11679685	11680446	37	1319	762
1327	chr1	11723648	11724431	126	1328	784
1330	chr1	11767489	11768482	18	1331	994
1332	chr1	11774843	11775530	83	1333	688
1347	chr1	11857645	11858372	58	1348	728
1349	chr1	11865472	11866587	12	1350	1116
1366	chr1	11950032	11950616	38	1367	585
1385	chr1	12054485	12054981	15	1386	497
1396	chr1	12126102	12127384	45	1397	1283
1433	chr1	12506534	12508157	45	1434	1624
1435	chr1	12507824	12508895	59	1436	1072
1445	chr1	12570230	12571511	13	1446	1282
1447	chr1	12572800	12573101	15	1448	302
1451	chr1	12591394	12591792	34	1452	399
1453	chr1	12597228	12598305	11	1454	1078
1459	chr1	12621564	12622323	46	1460	760
1462	chr1	12629399	12630436	24	1463	1038
1464	chr1	12643514	12644154	30	1465	641
1477	chr1	13462404	13465074	21	1478	2671
1481	chr1	13508916	13509443	27	1482	528
1483	chr1	13510690	13511356	60	1484	667
1500	chr1	13906994	13908837	20	1501	1844
1504	chr1	14100769	14101548	9	1505	780
1518	chr1	14366243	14367041	32	1519	799
1522	chr1	14498157	14498434	14	1523	278
1535	chr1	14713038	14713351	291	1536	314
1550	chr1	14862775	14864960	70	1551	2186
1557	chr1	14898485	14899183	28	1558	699
1561	chr1	14903340	14904577	12	1562	1238
1571	chr1	15034694	15035826	19	1572	1133
1572	chr1	15065698	15066059	28	1573	362
1585	chr1	15157026	15158200	14	1586	1175
1592	chr1	15195451	15196688	68	1593	1238
1598	chr1	15280087	15280532	14	1599	446
1600	chr1	15302848	15303180	19	1601	333
1605	chr1	15325024	15326749	31	1606	1726
1613	chr1	15363351	15365759	32	1614	2409
1620	chr1	15378998	15380030	20	1621	1033
1621	chr1	15413784	15416028	22	1622	2245
1622	chr1	15416289	15417175	53	1623	887
1629	chr1	15442093	15442880	42	1630	788
1639	chr1	15587472	15588222	10	1640	751
1649	chr1	15701870	15702316	13	1650	447
1655	chr1	15715882	15716454	11	1656	573
1662	chr1	15784510	15785820	49	1663	1311
1664	chr1	15786851	15788468	35	1665	1618
1671	chr1	15811687	15812337	18	1672	651
1678	chr1	15945340	15947286	10	1679	1947
1685	chr1	15997894	15998643	58	1686	750
1687	chr1	16022077	16022658	66	1688	582
1693	chr1	16067562	16068744	55	1694	1183
1695	chr1	16070749	16072137	32	1696	1389
1705	chr1	16090522	16091545	28	1706	1024
1714	chr1	16138754	16139794	66	1715	1041
1737	chr1	16227255	16227984	36	1738	730
1738	chr1	16227273	16227984	24	1739	712
1749	chr1	16359074	16359702	24	1750	629
1754	chr1	16486270	16487122	17	1755	853
1755	chr1	16500491	16502256	23	1756	1766
1760	chr1	16627155	16627755	35	1761	601
1780	chr1	16989281	16989881	48	1781	601
1782	chr1	17008682	17009351	42	1783	670
1785	chr1	17069962	17070507	29	1786	546
1787	chr1	17095517	17096637	78	1788	1121
1795	chr1	17112529	17114244	12	1796	1716
1800	chr1	17168041	17168420	26	1801	380
1805	chr1	17194032	17194392	14	1806	361
1808	chr1	17223454	17223792	20	1809	339
1810	chr1	17230431	17231597	255	1811	1167
1813	chr1	17232678	17233617	98	1814	940
1814	chr1	17240462	17240799	30	1815	338
1815	chr1	17243899	17247134	55	1816	3236
1821	chr1	17266532	17268129	22	1822	1598
1827	chr1	17280697	17281305	93	1828	609
1829	chr1	17282626	17284752	20	1830	2127
1836	chr1	17355059	17355447	26	1837	389
1841	chr1	17375019	17375408	9	1842	390
1845	chr1	17395644	17397234	20	1846	1591
1849	chr1	17423766	17425319	42	1850	1554
1850	chr1	17423789	17424335	83	1851	547
1852	chr1	17434010	17435366	60	1853	1357
1863	chr1	17481892	17482785	12	1864	894
1870	chr1	17520787	17521851	21	1871	1065
1877	chr1	17554268	17555604	10	1878	1337
1881	chr1	17567399	17567746	30	1882	348
1885	chr1	17593705	17594339	94	1886	635
1889	chr1	17601889	17602654	95	1890	766
1890	chr1	17610292	17611411	156	1891	1120
1892	chr1	17620868	17622125	32	1893	1258
1912	chr1	17751072	17755228	45	1913	4157
1931	chr1	17869985	17874424	92	1932	4440
1934	chr1	17964853	17965345	12	1935	493
1936	chr1	17970454	17971435	24	1937	982
1958	chr1	18241223	18242419	33	1959	1197
1965	chr1	18325733	18326269	48	1966	537
1976	chr1	18433628	18435585	14	1977	1958
1984	chr1	18511544	18513406	22	1985	1863
1989	chr1	18550114	18550629	86	1990	516
1990	chr1	18574641	18577750	22	1991	3110
1997	chr1	18638263	18639204	68	1998	942
1999	chr1	18664899	18666819	32	2000	1921
2003	chr1	18673171	18675049	19	2004	1879
2006	chr1	18690238	18690823	11	2007	586
2007	chr1	18713817	18714154	17	2008	338
2013	chr1	18801290	18802723	45	2014	1434
2014	chr1	18801397	18802650	26	2015	1254
2028	chr1	18884343	18884875	37	2029	533
2035	chr1	18917415	18918160	12	2036	746
2040	chr1	18937619	18938621	37	2041	1003
2042	chr1	18937625	18938620	9	2043	996
