PeakID (cmd=annotatePeaks.pl /home/qukun/minghaofang/workspace/project/ecc/paper_data_final/03.analysis/cresil/MLOY4/ecc_pipe_result/cresil_result.analysis.bed mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
6.88-9	chr14	44774899	44775368	+	8417	NA	Intergenic	ORR1A4-int|LTR|ERVL-MaLR	-50146	NM_001162954	666744	Mm.387002	NM_001162954	ENSMUSG00000091923	Gm8267	EG666744	predicted gene 8267	protein-coding
35.57	chrX	78558045	78558523	+	8416	NA	intron (NM_027322, intron 1 of 3)	intron (NM_027322, intron 1 of 3)	25521	NM_001164275	546336	Mm.211712	NM_027322	ENSMUSG00000047996	Prrg1	2010007L08Rik	proline rich Gla (G-carboxyglutamic acid) 1	protein-coding
15.42-4	chr2	38309098	38309934	+	8415	NA	Intergenic	MER5A|DNA|hAT-Charlie	-22132	NM_146122	227801	Mm.314245	NM_146122	ENSMUSG00000035392	Dennd1a	6030446I19Rik|connecdenn	DENN/MADD domain containing 1A	protein-coding
7.48-7	chr9	34938890	34939283	+	8414	NA	intron (NM_001190913, intron 2 of 13)	intron (NM_001190913, intron 2 of 13)	-177642	NR_029475	78934	Mm.391688	NR_029475	ENSMUSG00000070315	4930581F22Rik	-	RIKEN cDNA 4930581F22 gene	ncRNA
6.7-7	chr7	26892793	26893131	+	8413	NA	Intergenic	IAPEY3-int|LTR|ERVK	46424	NM_001101467	233005	Mm.291574	NM_001101467	ENSMUSG00000091867	Cyp2a22	EG233005	cytochrome P450, family 2, subfamily a, polypeptide 22	protein-coding
5.96-27	chr5	142637467	142638372	+	8412	NA	intron (NM_178398, intron 1 of 11)	B4A|SINE|B4	8335	NM_178398	74781	Mm.29432	NM_178398	ENSMUSG00000029578	Wipi2	1110018O08Rik|2510001I10Rik	WD repeat domain, phosphoinositide interacting 2	protein-coding
11.91-8	chr19	45570249	45571451	+	8411	NA	intron (NM_172639, intron 2 of 5)	RLTR12A|LTR|ERVK	10265	NM_001356947	226162	Mm.21978	NM_172639	ENSMUSG00000041035	Dpcd	Ndac	deleted in primary ciliary dyskinesia	protein-coding
12.07-2	chr3	118922818	118923242	+	8410	NA	intron (NM_170778, intron 11 of 22)	intron (NM_170778, intron 11 of 22)	360850	NM_170778	99586	Mm.27907	NM_170778	ENSMUSG00000033308	Dpyd	AI315208|DHPDHase|DPD|E330028L06Rik	dihydropyrimidine dehydrogenase	protein-coding
5.81-5	chr4	44023912	44024480	+	8409	NA	intron (NM_001369156, intron 3 of 6)	intron (NM_001369156, intron 3 of 6)	11526	NM_001080385	12757	Mm.298875	NM_016760	ENSMUSG00000028478	Clta	AV026556|Lca	clathrin, light polypeptide (Lca)	protein-coding
87.92	chr15	100579887	100580355	+	8408	NA	intron (NM_001304965, intron 9 of 10)	intron (NM_001304965, intron 9 of 10)	19863	NM_001304965	19009	Mm.28825	NM_010127	ENSMUSG00000009739	Pou6f1	2310038G18Rik|C79593|Emb|cns-1	POU domain, class 6, transcription factor 1	protein-coding
9.94-6	chr8	71717026	71717766	+	8407	NA	intron (NR_131256, intron 5 of 25)	intron (NR_131256, intron 5 of 25)	8285	NR_028267	74015	Mm.22025	NM_028715	ENSMUSG00000070000	Fcho1	3322402E17Rik|N28152	FCH domain only 1	protein-coding
5.15-8	chr15	12974847	12975640	+	8406	NA	Intergenic	LTR104_Mam|LTR|Gypsy	150428	NM_026799	14000	Mm.293142	NM_026799	ENSMUSG00000022191	Drosha	1110013A17Rik|AI874853|Etohi2|Rn3|Rnasen	drosha, ribonuclease type III	protein-coding
9.94-5	chr12	94661407	94663431	+	8405	NA	Intergenic	Lx8|LINE|L1	735081	NR_106175	102465890		NR_106175	ENSMUSG00000098498	Mir8099-1	Gm27917|mmu-mir-8099-1	microRNA 8099-1	ncRNA
