id	merge_region	merge_len	num_region	eccdna_status	numreads	totalbase	coverage	consensus_len	consensus_status
ec1	chr10:97349112-97350726_+	1615	1	cyclic	224	501286	310.39	1624	Insertion
ec2	chr16:70252542-70253771_+	1230	1	cyclic	2320	3969112	3226.92	1230	No_indel
ec3	chr8:79742569-79743216_+	648	1	cyclic	22079	38577777	59533.61	649	Insertion
ec4	chrY:9179930-9181914_+	1985	1	cyclic	52	80052	40.33	1986	Insertion
ec5	chr8:134081001-134082251_+	1251	1	cyclic	1677	2773013	2216.64	1251	No_indel
ec6	chr11:44448414-44450020_+	1607	1	cyclic	2987	5174546	3220.00	1611	Insertion
ec7	chr7:874947-876138_+	1192	1	cyclic	15606	30752009	25798.67	1195	Insertion
ec8	chr10:77080240-77087417_+	7178	1	cyclic	5697	10656591	1484.62	7171	Deletion
ec9	chr1:9208310-9208795_+	486	1	cyclic	22625	46501741	95682.59	488	Insertion
ec10	chr6:161344648-161349048_+	4401	1	cyclic	16348	32189147	7314.05	4412	Insertion
ec11	chr2:10934346-10937077_+	2732	1	cyclic	4569	8607151	3150.49	2732	No_indel
ec12	chr1:207962740-207965481_+	2742	1	cyclic	5207	11259238	4106.21	2742	No_indel
ec13	chr1:109632078-109634331_+	2254	1	cyclic	42143	89558947	39733.34	2254	No_indel
ec14	chr19:10095389-10097676_+	2288	1	cyclic	5560	14313248	6255.79	2295	Insertion
ec15	chr1:22585329-22589089_+	3761	1	cyclic	8823	19371660	5150.67	3769	Insertion
ec16	chr10:505734-507192_+	1459	1	cyclic	14291	31514597	21600.14	1459	No_indel
ec17	chr3:183552435-183555400_+	2966	1	cyclic	13904	29339900	9892.08	2968	Insertion
ec18	chr17:57955757-57956697_+	941	1	cyclic	747	1262230	1341.37	941	No_indel
ec19	chr18:51154864-51159862_+	4999	1	cyclic	14672	30290156	6059.24	5012	Insertion
ec20	chr10:71028318-71029737_+	1420	1	cyclic	4933	11450904	8064.02	1420	No_indel
ec21	chr10:21741550-21744759_+	3210	1	cyclic	12027	21869934	6813.06	3211	Insertion
ec22	chr8:87792146-87792811_+,chr8:87825948-87827377_+	2096	2	cyclic	536	698184	333.10	2098	Insertion
ec23	chr14:37009032-37014446_+	5415	1	cyclic	1270	2023200	373.63	5417	Insertion
ec24	chr12:128211316-128213344_+	2029	1	cyclic	125	197425	97.30	2035	Insertion
ec25	chr11:65944518-65946713_+	2196	1	cyclic	372	799250	363.96	2210	Insertion
ec26	chr7:155021280-155023217_+	1938	1	cyclic	42	68736	35.47	1938	No_indel
ec27	chr14:37059671-37061068_+	1398	1	cyclic	10452	16100889	11517.09	1393	Deletion
ec28	chr7:76374701-76375274_+	574	1	cyclic	9	24816	43.23	574	No_indel
ec29	chr15:90265299-90265910_+	612	1	cyclic	286	490030	800.70	612	No_indel
ec30	chr10:58268283-58269993_+	1711	1	cyclic	2158	4067018	2376.98	1714	Insertion
ec31	chr2:235178404-235181940_+	3537	1	cyclic	40	50301	14.22	3538	Insertion
ec32	chr11:126111683-126113274_+	1592	1	cyclic	2615	4955220	3112.58	1592	No_indel
ec33	chr12:131937895-131941536_+	3642	1	cyclic	22761	51178491	14052.30	3644	Insertion
ec34	chr17:43672194-43672724_+	531	1	cyclic	1280	2350764	4427.05	531	No_indel
ec35	chr22:31136355-31140750_+	4396	1	cyclic	4664	9751320	2218.23	4396	No_indel
ec36	chr16:53037606-53038656_+	1051	1	cyclic	3403	6089437	5793.95	1051	No_indel
ec37	chr1:27091206-27103515_+	12310	1	cyclic	194	468473	38.06	12326	Insertion
ec38	chr17:17773961-17777669_+	3709	1	cyclic	9933	23089324	6225.22	3732	Insertion
ec39	chr6:167516910-167518062_+	1153	1	cyclic	358	629447	545.92	1153	No_indel
ec40	chr10:5531007-5532070_+	1064	1	cyclic	1142	2126303	1998.41	1064	No_indel
ec41	chr2:140897791-140898082_+	292	1	cyclic	11	7960	27.26	292	No_indel
ec42	chr7:155285166-155288955_+	3790	1	cyclic	3068	6808762	1796.51	3790	No_indel
ec43	chr3:197339700-197343351_+	3652	1	cyclic	386	633150	173.37	3654	Insertion
ec44	chr7:75015305-75017186_+	1882	1	cyclic	3509	8052511	4278.70	1887	Insertion
ec45	chr3:121560303-121562046_+	1744	1	cyclic	14	25348	14.53	1747	Insertion
ec46	chr5:149177618-149181307_+	3690	1	cyclic	91	154300	41.82	3690	No_indel
ec47	chr9:817224-818026_+	803	1	cyclic	338	695370	865.97	804	Insertion
ec48	chr7:99248219-99249338_+	1120	1	cyclic	210	382048	341.11	1122	Insertion
ec49	chr10:80565652-80565952_+	301	1	cyclic	53	65042	216.09	300	Deletion
ec50	chr18:78781212-78781596_+	385	1	cyclic	41	40465	105.10	385	No_indel
ec51	chr7:291491-294608_+	3118	1	cyclic	9714	19621207	6292.88	3122	Insertion
ec52	chr17:55778312-55780680_+	2369	1	cyclic	1626	2752123	1161.72	2370	Insertion
ec53	chr17:28858108-28860131_+	2024	1	cyclic	4730	11645900	5753.90	2028	Insertion
ec54	chr16:28833911-28838813_+	4903	1	cyclic	2580	4883027	995.93	4908	Insertion
ec55	chr3:143000738-143002135_+	1398	1	cyclic	575	1273790	911.15	1407	Insertion
ec56	chr14:22504137-22505252_+	1116	1	cyclic	49	64313	57.63	1141	Insertion
ec57	chr15:40302202-40303175_+	974	1	cyclic	1453	2554426	2622.61	974	No_indel
ec58	chr15:60123313-60125864_+	2552	1	cyclic	1950	3515817	1377.67	2539	Deletion
ec59	chr6:42923333-42923662_+	330	1	cyclic	5	4825	14.62	330	No_indel
ec60	chr11:75768463-75768739_+	277	1	cyclic	2437	2604465	9402.40	275	Deletion
ec61	chr15:63343245-63346033_+	2789	1	cyclic	3731	6954215	2493.44	2791	Insertion
ec62	chr13:30567451-30568482_+	1032	1	cyclic	66	95688	92.72	1034	Insertion
ec63	chr1:154435227-154436712_+	1486	1	cyclic	2486	5562436	3743.23	1548	Insertion
ec64	chr12:62192691-62193642_+	952	1	cyclic	6	7921	8.32	951	Deletion
ec65	chr21:45015659-45018397_+	2739	1	cyclic	1413	3267441	1192.93	2740	Insertion
ec66	chr5:178107715-178111504_+	3790	1	cyclic	408	932635	246.08	3803	Insertion
ec67	chr22:50741363-50743408_+	2046	1	cyclic	2345	4203014	2054.26	2053	Insertion
ec68	chr16:75255428-75256742_+	1315	1	cyclic	4942	12324909	9372.55	1336	Insertion
ec69	chr3:134352098-134358447_+	6350	1	cyclic	3790	8964990	1411.81	6352	Insertion
ec70	chr15:65924648-65925323_+	676	1	cyclic	1081	1823290	2697.17	676	No_indel
ec71	chr19:6659397-6659987_+	591	1	cyclic	71	101992	172.58	591	No_indel
ec72	chr7:34216302-34217424_+	1123	1	cyclic	77	106119	94.50	1123	No_indel
ec73	chr1:224785101-224796595_+	11495	1	cyclic	42461	86162951	7495.69	11503	Insertion
ec74	chr16:20794575-20796593_+	2019	1	cyclic	227	353230	174.95	2020	Insertion
ec75	chr6:31197187-31197929_+	743	1	cyclic	149	295646	397.91	743	No_indel
ec76	chr4:155506044-155508333_+	2290	1	cyclic	2069	2807916	1226.16	2295	Insertion
