	id	merge_region	merge_len	num_region	eccdna_status	numreads	totalbase	coverage	consensus_len	consensus_status	eccID
0	ec1	chr14:78083074-78095482_-	12409	1	cyclic	297	930377	74.98	12418	Insertion	1
1	ec2	chr1:101394595-101408250_-	13656	1	cyclic	27	78178	5.72	13678	Insertion	2
2	ec3	chr8:102788003-102797814_-	9812	1	cyclic	34	81445	8.3	9831	Insertion	3
3	ec4	chr11:52380163-52387600_-	7438	1	cyclic	118	463436	62.31	7450	Insertion	4
4	ec5	chr3:115077470-115097574_-	20105	1	cyclic	57	145017	7.21	20244	Insertion	5
5	ec6	chr19:13182978-13201763_-	18786	1	cyclic	179	495712	26.39	18806	Insertion	6
6	ec7	chr19:17326988-17330408_-	3421	1	cyclic	14	28867	8.44	3424	Insertion	7
7	ec8	chr6:119922819-119924706_-	1888	1	cyclic	2	14782	7.83	1890	Insertion	8
8	ec9	chr1:4816299-4823246_-	6948	1	cyclic	43	190167	27.37	6948	No_indel	9
9	ec10	chr10:41836073-41842952_-	6880	1	cyclic	206	613444	89.16	6883	Insertion	10
10	ec11	chr8:70294055-70295319_-	1265	1	cyclic	13	23880	18.88	1264	Deletion	11
11	ec12	chr18:23087681-23088560_+	880	1	cyclic	15	32769	37.24	881	Insertion	12
12	ec13	chr14:120439175-120457283_-	18109	1	cyclic	48	155791	8.6	18127	Insertion	13
13	ec14	chr19:43759774-43765192_-	5419	1	cyclic	57	160442	29.61	5427	Insertion	14
14	ec15	chr15:23891795-23900077_-	8283	1	cyclic	72	216308	26.11	8284	Insertion	15
15	ec16	chr3:23616227-23630060_-	13834	1	cyclic	38	108036	7.81	13846	Insertion	16
16	ec17	chr4:137772085-137772391_+	307	1	cyclic	1	3603	11.74	307	No_indel	17
17	ec18	chr11:108916366-108916661_-	296	1	cyclic	83	239810	810.17	296	No_indel	18
18	ec19	chr15:91356450-91364541_-	8092	1	cyclic	75	230850	28.53	8097	Insertion	19
19	ec20	chr11:70688910-70690990_-	2081	1	cyclic	17	42250	20.3	2083	Insertion	20
