	id	merge_region	merge_len	num_region	eccdna_status	numreads	totalbase	coverage	consensus_len	consensus_status	eccID
0	ec1	chr10:97349112-97350726_+	1615	1	cyclic	224	501286	310.39	1624	Insertion	1
1	ec2	chr16:70252542-70253771_+	1230	1	cyclic	2320	3969112	3226.92	1230	No_indel	2
2	ec3	chr8:79742569-79743216_+	648	1	cyclic	22079	38577777	59533.61	649	Insertion	3
3	ec4	chrY:9179930-9181914_+	1985	1	cyclic	52	80052	40.33	1986	Insertion	4
4	ec5	chr8:134081001-134082251_+	1251	1	cyclic	1677	2773013	2216.64	1251	No_indel	5
5	ec6	chr11:44448414-44450020_+	1607	1	cyclic	2987	5174546	3220.0	1611	Insertion	6
6	ec7	chr7:874947-876138_+	1192	1	cyclic	15606	30752009	25798.67	1195	Insertion	7
7	ec8	chr10:77080240-77087417_+	7178	1	cyclic	5697	10656591	1484.62	7171	Deletion	8
8	ec9	chr1:9208310-9208795_+	486	1	cyclic	22625	46501741	95682.59	488	Insertion	9
9	ec10	chr6:161344648-161349048_+	4401	1	cyclic	16348	32189147	7314.05	4412	Insertion	10
10	ec11	chr2:10934346-10937077_+	2732	1	cyclic	4569	8607151	3150.49	2732	No_indel	11
11	ec12	chr1:207962740-207965481_+	2742	1	cyclic	5207	11259238	4106.21	2742	No_indel	12
12	ec13	chr1:109632078-109634331_+	2254	1	cyclic	42143	89558947	39733.34	2254	No_indel	13
13	ec14	chr19:10095389-10097676_+	2288	1	cyclic	5560	14313248	6255.79	2295	Insertion	14
14	ec15	chr1:22585329-22589089_+	3761	1	cyclic	8823	19371660	5150.67	3769	Insertion	15
15	ec16	chr10:505734-507192_+	1459	1	cyclic	14291	31514597	21600.14	1459	No_indel	16
16	ec17	chr3:183552435-183555400_+	2966	1	cyclic	13904	29339900	9892.08	2968	Insertion	17
17	ec18	chr17:57955757-57956697_+	941	1	cyclic	747	1262230	1341.37	941	No_indel	18
18	ec19	chr18:51154864-51159862_+	4999	1	cyclic	14672	30290156	6059.24	5012	Insertion	19
