PeakID (cmd=annotatePeaks.pl /home/qukun/minghaofang/workspace/project/ecc/paper_data_final/03.analysis/cresil/E0771/ecc_pipe_result/cresil_result.analysis.bed mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
7.89-10	chr5	150321730	150322308	+	8097	NA	intron (NM_172887, intron 2 of 60)	B2_Mm2|SINE|B2	62089	NM_172887	320365	Mm.216590	NM_172887	ENSMUSG00000056602	Fry	13CDNA73|9330186A19Rik|AF346502|AI462658|C87180|D930046M03|cg003|mKIAA4143	FRY microtubule binding protein	protein-coding
44.16	chr15	85858458	85858659	+	8096	NA	3' UTR (NM_001033337, exon 14 of 14)	3' UTR (NM_001033337, exon 14 of 14)	-1149	NM_001168672	29870	Mm.20858	NM_013882	ENSMUSG00000022385	Gtse1	B99|Gtse-1	G two S phase expressed protein 1	protein-coding
5.98-18	chr1	86019643	86020366	+	8095	NA	Intergenic	Intergenic	-1938	NM_027029	70060	Mm.196313	NM_027029	ENSMUSG00000026226	Spata3	1700011N12Rik|1700029H01Rik|4930424D10Rik|Mtsarg1|Tsarg1	spermatogenesis associated 3	protein-coding
7.82-7	chr2	6661979	6662474	+	8094	NA	intron (NM_001160293, intron 3 of 13)	intron (NM_001160293, intron 3 of 13)	59436	NM_001310447	14007	Mm.398543	NM_010160	ENSMUSG00000002107	Celf2	B230218O03|B230345P09Rik|C88023|CELF-2|CUG-BP2|Cugbp2|D230046B21Rik|Etr-3|Napor|Napor-2|mETR-3	CUGBP, Elav-like family member 2	protein-coding
7.82-6	chr10	103115430	103115905	+	8094	NA	intron (NM_001163559, intron 23 of 25)	AT_rich|Low_complexity|Low_complexity	-86890	NM_172553	216285	Mm.19287	NM_172553	ENSMUSG00000036602	Alx1	AI314867|C130005I02|Cart1	ALX homeobox 1	protein-coding
15.18-3	chr2	181163227	181163447	+	8093	NA	Intergenic	RCHARR1|DNA|hAT-Charlie	-6322	NM_007906	13628	Mm.2645	NM_007906	ENSMUSG00000016349	Eef1a2	EEF1AL|EF-1-alpha-2|Eef1a|S1|STN|wasted|wst	eukaryotic translation elongation factor 1 alpha 2	protein-coding
64.23	chr4	103032449	103032650	+	8092	NA	Intergenic	Intergenic	-5278	NM_001290648	23919	Mm.100163	NM_011831	ENSMUSG00000066090	Insl5	RIF2	insulin-like 5	protein-coding
27.86-2	chr17	34145675	34146414	+	8091	NA	intron (NM_010388, intron 1 of 5)	intron (NM_010388, intron 1 of 5)	795	NR_160895	15000	Mm.195060	NM_010388	ENSMUSG00000037548	H2-DMb2	H-2Mb2|H2-Mb2	histocompatibility 2, class II, locus Mb2	protein-coding
9.79-3	chr9	105721867	105722338	+	8090	NA	intron (NM_001102607, intron 28 of 36)	intron (NM_001102607, intron 28 of 36)	79107	NM_001081309	75669	Mm.274830	NM_029380	ENSMUSG00000032571	Pik3r4	2210010O15Rik|C730038E05Rik|C85833|D9Ertd418e|Vps15|p150	phosphoinositide-3-kinase regulatory subunit 4	protein-coding
7.69-4	chr1	119223843	119224411	+	8089	NA	Intergenic	Intergenic	-170508	NM_001081125	14633	Mm.273292	NM_001081125	ENSMUSG00000048402	Gli2	-	GLI-Kruppel family member GLI2	protein-coding
29.89-3	chrX	94828634	94829143	+	8088	NA	Intergenic	MMERVK10C-int|LTR|ERVK	-30599	NR_003292	668171	Mm.426134	NR_003292		Zxda	4933406P09Rik|AW413531	zinc finger, X-linked, duplicated A	pseudo
33.32	chr2	163814697	163814970	+	8087	NA	Intergenic	Intergenic	-6001	NM_016873	22403	Mm.13828	NM_016873	ENSMUSG00000027656	Ccn5	Crgr4|Ctgfl|Rcop1|Wisp2	cellular communication network factor 5	protein-coding
16.27-2	chr17	29003089	29003513	+	8086	NA	intron (NM_001357173, intron 1 of 13)	intron (NM_001357173, intron 1 of 13)	4694	NM_134115	106504	Mm.439986	NM_134115	ENSMUSG00000024006	Stk38	5830476G13Rik|9530097A09Rik|AA617404|Ndr1	serine/threonine kinase 38	protein-coding
6.72-6	chr8	56458552	56459056	+	8085	NA	Intergenic	Intergenic	26164	NR_131020	75123	Mm.72666	NR_131020	ENSMUSG00000110310	4930518J21Rik	-	RIKEN cDNA 4930518J21 gene	ncRNA
7.86-10	chr3	49861582	49862328	+	8084	NA	Intergenic	L1_Mus2|LINE|L1	-104639	NM_130448	73173	Mm.87246	NM_130448	ENSMUSG00000037892	Pcdh18	3110038E07Rik|BB095589|PCDH68L	protocadherin 18	protein-coding
6.21-8	chr12	58954720	58955789	+	8083	NA	Intergenic	L1_Mus1|LINE|L1	56763	NM_009147	20334	Mm.491137	NM_009147	ENSMUSG00000020986	Sec23a	Msec23|Sec23r	SEC23 homolog A, COPII coat complex component	protein-coding
26.56-3	chr6	116638017	116638804	+	8082	NA	intron (NM_178045, intron 10 of 10)	intron (NM_178045, intron 10 of 10)	7637	NR_106010	102466793		NR_106010	ENSMUSG00000098334	Mir7043	Gm27776|mmu-mir-7043	microRNA 7043	ncRNA
23.78	chr11	31957097	31957327	+	8081	NA	Intergenic	Intergenic	-8421	NM_026262	67592	Mm.78654	NM_026262	ENSMUSG00000020299	4930524B15Rik	-	RIKEN cDNA 4930524B15 gene	protein-coding
7.32-7	chr1	134156206	134156767	+	8080	NA	Intergenic	Intergenic	-25918	NM_007695	12654	Mm.38274	NM_007695	ENSMUSG00000064246	Chil1	AW208766|Brp39|Chi3l1|Gp39	chitinase-like 1	protein-coding
17.77	chr5	101479921	101480566	+	8079	NA	Intergenic	Intergenic	184468	NM_144955	18096	Mm.193072	NM_144955	ENSMUSG00000035187	Nkx6-1	NKX6A|Nkx6.1	NK6 homeobox 1	protein-coding
10.52-4	chr8	117713201	117713767	+	8078	NA	intron (NM_008290, intron 1 of 4)	URR1A|DNA|hAT-Charlie	11538	NM_008290	15486	Mm.276466	NM_008290	ENSMUSG00000031844	Hsd17b2	AI194836|AI194967|AI255511	hydroxysteroid (17-beta) dehydrogenase 2	protein-coding
10.52-3	chr2	78900234	78900438	+	8078	NA	intron (NM_001356395, intron 3 of 5)	intron (NM_001356395, intron 3 of 5)	30658	NR_151458	22193	Mm.1485	NM_009454	ENSMUSG00000027011	Ube2e3	Ubce4|ubcM2	ubiquitin-conjugating enzyme E2E 3	protein-coding
9.77-6	chr2	167458538	167458924	+	8077	NA	intron (NM_001304542, intron 8 of 15)	intron (NM_001304542, intron 8 of 15)	-33914	NM_030743	81018	Mm.22225	NM_030743	ENSMUSG00000006418	Rnf114	1110008J21Rik|AI225886|AW549494|Zfp228|Zfp313|Znf228	ring finger protein 114	protein-coding
9.37-4	chr17	70764794	70765862	+	8076	NA	intron (NM_177639, intron 7 of 11)	MER2|DNA|TcMar-Tigger	81449	NM_001164077	21815	Mm.101034	NM_009372	ENSMUSG00000047407	Tgif1	AA959811|AI462167|Tgif	TGFB-induced factor homeobox 1	protein-coding
6.3-7	chr11	66966684	66967531	+	8075	NA	Intergenic	Intergenic	9213	NR_130646	71576	Mm.340077	NR_130315	ENSMUSG00000085683	Tmem238l	9130409J20Rik	transmembrane protein 238 like	ncRNA
11.1-3	chr6	40891086	40892556	+	8074	NA	Intergenic	Intergenic	-4327	NM_139296	194357	Mm.207087	NM_139296	ENSMUSG00000029885	Moxd2	Dbhl1	monooxygenase, DBH-like 2	protein-coding
17.92-2	chr1	24028878	24029599	+	8073	NA	exon (NM_026604, exon 14 of 21)	exon (NM_026604, exon 14 of 21)	-23598	NM_026503	68002	Mm.250424	NM_026503	ENSMUSG00000026154	Sdhaf4	1110058L19Rik|1700001E18Rik|C6orf57	succinate dehydrogenase complex assembly factor 4	protein-coding
