id	merge_region	merge_len	num_region	eccdna_status	numreads	totalbase	coverage	consensus_len	consensus_status
ec1	chr16:65051747-65052484_-	738	1	cyclic	5	47074	63.79	0	Unknown
ec2	chr2:117886141-117886910_+	770	1	cyclic	2	9846	12.79	0	Unknown
ec3	chr5:124595272-124595488_-	217	1	cyclic	1592	2631399	12126.26	0	Unknown
ec4	chr8:83163193-83164266_-	1074	1	cyclic	5	7453	6.94	0	Unknown
ec5	chr11:100176896-100177255_+	360	1	cyclic	20	69893	194.15	0	Unknown
ec6	chr11:99525936-99526306_+	371	1	cyclic	1198	2774192	7477.61	0	Unknown
ec7	chr6:35668509-35668911_-	403	1	cyclic	2	2926	7.26	0	Unknown
ec8	chr10:21608022-21608416_+	395	1	cyclic	878	2195312	5557.75	0	Unknown
ec9	chr16:32317308-32317603_-	296	1	cyclic	202	409652	1383.96	0	Unknown
ec10	chr5:149393118-149393470_+	353	1	cyclic	23	91469	259.12	0	Unknown
ec11	chr10:14868833-14869173_+	341	1	cyclic	9	42237	123.86	0	Unknown
ec12	chr11:109341399-109341741_-	343	1	cyclic	10	15816	46.11	0	Unknown
ec13	chr17:66325913-66326548_-	636	1	cyclic	1	7508	11.81	0	Unknown
ec14	chr6:136554648-136555811_+	1164	1	cyclic	20	54389	46.73	0	Unknown
ec15	chr1:20668729-20669451_-	723	1	cyclic	1	4324	5.98	0	Unknown
ec16	chr11:20036474-20036813_+	340	1	cyclic	2	4740	13.94	0	Unknown
ec17	chr6:73955894-73957830_+	1937	1	cyclic	6	11948	6.17	0	Unknown
ec18	chr3:133553525-133554971_+	1447	1	cyclic	1	20005	13.83	0	Unknown
ec19	chr6:118598197-118599066_+	870	1	cyclic	3	12937	14.87	0	Unknown
ec20	chr3:24106402-24107066_+	665	1	cyclic	3	16740	25.17	0	Unknown
ec21	chr4:48234646-48235328_-	683	1	cyclic	1	8137	11.91	0	Unknown
ec22	chr1:179860958-179861600_-	643	1	cyclic	1	14018	21.80	0	Unknown
ec23	chr3:98138200-98138568_-	369	1	cyclic	371	1013313	2746.11	0	Unknown
ec24	chr14:58068803-58069536_-	734	1	cyclic	1	4373	5.96	0	Unknown
ec25	chr18:11234532-11234734_-	203	1	cyclic	1677	3982985	19620.62	0	Unknown
ec26	chr3:146317585-146317943_+	359	1	cyclic	51	153497	427.57	0	Unknown
ec27	chr1:152193285-152195836_-	2552	1	cyclic	4	13779	5.40	0	Unknown
ec28	chr10:100010780-100011530_+	751	1	cyclic	201	567271	755.35	0	Unknown
ec29	chr16:10688368-10690179_-	1812	1	cyclic	1	28673	15.82	0	Unknown
ec30	chr2:153535085-153535635_+	551	1	cyclic	2	4223	7.66	0	Unknown
ec31	chr10:75220865-75221615_-,chr1:35002775-35003078_+	1055	2	cyclic	2	25194	23.88	0	Unknown
ec32	chr8:77703493-77704335_+	843	1	cyclic	6	7623	9.04	0	Unknown
ec33	chr7:40052149-40052523_+	375	1	cyclic	1	2983	7.95	0	Unknown
ec34	chr17:25055769-25057211_-	1443	1	cyclic	4	17051	11.82	0	Unknown
ec35	chr4:126807187-126807539_-	353	1	cyclic	1	28062	79.50	0	Unknown
ec36	chr8:122148496-122149198_-	703	1	cyclic	1	10955	15.58	0	Unknown
ec37	chr14:67757931-67758858_+	928	1	cyclic	4	19806	21.34	0	Unknown
ec38	chr7:98052971-98053665_-	695	1	cyclic	1	4092	5.89	0	Unknown
ec39	chr11:93177118-93177468_-	351	1	cyclic	24	84486	240.70	0	Unknown
ec40	chr12:54333784-54334158_+	375	1	cyclic	215	565652	1508.41	0	Unknown
ec41	chr12:99030968-99031278_-	311	1	cyclic	6	18519	59.55	0	Unknown
ec42	chr14:30173710-30174277_+	568	1	cyclic	5	17764	31.27	0	Unknown
ec43	chr9:46091152-46101300_-	10149	1	cyclic	4	48111	4.74	0	Unknown
ec44	chr12:85325198-85325861_-	664	1	cyclic	5	18841	28.38	0	Unknown
ec45	chr2:168426468-168426836_-	369	1	cyclic	755	1598242	4331.28	0	Unknown
ec46	chr2:43510449-43511158_+	710	1	cyclic	8	81469	114.75	0	Unknown
ec47	chr13:102839103-102839812_-	710	1	cyclic	1	7056	9.94	0	Unknown
ec48	chr3:17525505-17527206_+	1702	1	cyclic	2	22474	13.20	0	Unknown
ec49	chr15:3389404-3390912_-	1509	1	cyclic	2	12671	8.40	0	Unknown
ec50	chr7:38308800-38310617_-	1818	1	cyclic	5	17841	9.81	0	Unknown
ec51	chr2:92661586-92663125_+	1540	1	cyclic	1	21223	13.78	0	Unknown
ec52	chr10:62894808-62895177_-	370	1	cyclic	18	29701	80.27	0	Unknown
ec53	chr7:143559981-143560370_+	390	1	cyclic	1830	4973724	12753.14	0	Unknown
ec54	chr7:112705740-112706112_-	373	1	cyclic	1	11614	31.14	0	Unknown
ec55	chr5:111710417-111716759_-,chr6:32571738-32580077_-	14683	2	cyclic	16	69369	4.72	0	Unknown
ec56	chr7:78944686-78945294_-	609	1	cyclic	1	5953	9.78	0	Unknown
ec57	chr15:12584384-12585538_+	1155	1	cyclic	2	6913	5.99	0	Unknown
ec58	chr14:107963382-107963768_-	387	1	cyclic	2	2070	5.35	0	Unknown
ec59	chr10:25837994-25839546_-	1553	1	cyclic	2	8223	5.29	0	Unknown
ec60	chr12:82153082-82153830_-	749	1	cyclic	1	7419	9.91	0	Unknown
ec61	chr10:42558384-42559170_+	787	1	cyclic	2	14147	17.98	0	Unknown
ec62	chr2:150860536-150860949_+	414	1	cyclic	1	28657	69.22	0	Unknown
ec63	chr2:25854566-25854948_-	383	1	cyclic	4	7713	20.14	0	Unknown
ec64	chr5:28993668-28997691_-	4024	1	cyclic	7	33416	8.30	0	Unknown
ec65	chr18:39060531-39061099_-	569	1	cyclic	48	219092	385.05	0	Unknown
ec66	chr5:103756067-103756734_-	668	1	cyclic	4	3826	5.73	0	Unknown
ec67	chr9:121508534-121508924_-	391	1	cyclic	2740	4984727	12748.66	0	Unknown
ec68	chr10:34420061-34420773_-	713	1	cyclic	1	6255	8.77	0	Unknown
ec69	chr2:47626037-47626776_+	740	1	cyclic	21	60951	82.37	0	Unknown
ec70	chr5:123119388-123119754_-	367	1	cyclic	9	46089	125.58	0	Unknown
ec71	chr6:137243413-137243769_-	357	1	cyclic	1	14709	41.20	0	Unknown
ec72	chr1:68368655-68369618_-	964	1	cyclic	1	5779	5.99	0	Unknown
ec73	chr18:81533279-81534027_+	749	1	cyclic	5	10256	13.69	0	Unknown
ec74	chr2:82277420-82277858_-	439	1	cyclic	2	11683	26.61	0	Unknown
ec75	chr8:24417257-24418717_+	1461	1	cyclic	2	12945	8.86	0	Unknown
ec76	chr11:104097319-104097723_+	405	1	cyclic	6	2878	7.11	0	Unknown
