id	merge_region	merge_len	num_region	eccdna_status	numreads	totalbase	coverage	consensus_len	consensus_status
ec1	chr3:18917653-18922285_-	4633	1	cyclic	141	446507	96.38	0	Unknown
ec2	chr2:125428513-125433527_+	5015	1	cyclic	65	230842	46.03	0	Unknown
ec3	chrX:150446846-150449481_+	2636	1	cyclic	45	87268	33.11	0	Unknown
ec4	chr10:17021527-17022579_+	1053	1	cyclic	14	19540	18.56	0	Unknown
ec5	chr11:43190727-43198411_-	7685	1	cyclic	398	1715330	223.20	0	Unknown
ec6	chr11:73252392-73255811_-	3420	1	cyclic	1267	5072967	1483.32	0	Unknown
ec7	chr8:107634196-107640268_-	6073	1	cyclic	57	236564	38.95	0	Unknown
ec8	chr17:28769724-28772228_+	2505	1	cyclic	5	16053	6.41	0	Unknown
ec9	chr1:34708939-34710564_-	1626	1	cyclic	90	247234	152.05	0	Unknown
ec10	chr15:81384333-81393071_-	8739	1	cyclic	236	1056120	120.85	0	Unknown
ec11	chr9:11734207-11750004_+	15798	1	cyclic	147	570200	36.09	0	Unknown
ec12	chr13:90105973-90111606_+	5634	1	cyclic	24	122256	21.70	0	Unknown
ec13	chr3:109207254-109212142_-	4889	1	cyclic	2157	8266584	1690.85	0	Unknown
ec14	chr11:70073962-70075849_+	1888	1	cyclic	12	31661	16.77	0	Unknown
ec15	chr5:38840293-38841554_+	1262	1	cyclic	50	211303	167.44	0	Unknown
ec16	chr8:42069126-42070452_+	1327	1	cyclic	45	104036	78.40	0	Unknown
ec17	chr14:37110178-37114285_-	4108	1	cyclic	190	759773	184.95	0	Unknown
ec18	chr12:34211840-34232239_+	20400	1	cyclic	3840	18975626	930.18	0	Unknown
ec19	chr10:92217919-92221840_-	3922	1	cyclic	43	112892	28.78	0	Unknown
ec20	chr4:34934018-34941008_-	6991	1	cyclic	1130	4490048	642.26	0	Unknown
ec21	chr5:21792894-21795848_+	2955	1	cyclic	1317	4957859	1677.79	0	Unknown
ec22	chr18:75164254-75177692_-	13439	1	cyclic	2054	10241578	762.08	0	Unknown
ec23	chr14:48799283-48800258_-	976	1	cyclic	9	29730	30.46	0	Unknown
ec24	chr14:92734995-92735785_-	791	1	cyclic	47	181070	228.91	0	Unknown
ec25	chr10:125665414-125667598_+	2185	1	cyclic	234	723028	330.91	0	Unknown
ec26	chr4:24952346-24962059_-	9714	1	cyclic	471	2276716	234.37	0	Unknown
ec27	chr11:87125405-87128323_-	2919	1	cyclic	175	629334	215.60	0	Unknown
ec28	chr15:91315683-91321191_-	5509	1	cyclic	1514	5808157	1054.30	0	Unknown
ec29	chr9:80693713-80707057_+	13345	1	cyclic	57	148462	11.12	0	Unknown
ec30	chr15:61753489-61754054_-	566	1	cyclic	3	20441	36.11	0	Unknown
ec31	chr18:7770852-7775862_+	5011	1	cyclic	145	766979	153.06	0	Unknown
ec32	chr15:49705868-49706283_+,chr1:55392233-55392690_+	874	2	cyclic	274	920159	1052.81	0	Unknown
ec33	chr5:125711648-125715784_+	4137	1	cyclic	1024	4539005	1097.17	0	Unknown
ec34	chr18:59327150-59332674_-	5525	1	cyclic	172	469820	85.04	0	Unknown
ec35	chr6:142776550-142784430_-	7881	1	cyclic	836	4110400	521.56	0	Unknown
ec36	chr2:155030996-155036585_+	5590	1	cyclic	172	699380	125.11	0	Unknown
ec37	chr14:14108837-14116149_+	7313	1	cyclic	55	279050	38.16	0	Unknown
ec38	chr10:82957344-82957904_-	561	1	cyclic	74	343603	612.48	0	Unknown
ec39	chr9:31652199-31664253_-	12055	1	cyclic	1380	6911469	573.33	0	Unknown
ec40	chr3:114755290-114759959_+	4670	1	cyclic	337	1444097	309.23	0	Unknown
ec41	chr12:98593644-98600523_-	6880	1	cyclic	120	405746	58.97	0	Unknown
ec42	chr5:98067521-98068933_+	1413	1	cyclic	1507	5534820	3917.07	0	Unknown
ec43	chr19:58420735-58427458_+	6724	1	cyclic	483	2014056	299.53	0	Unknown
ec44	chr2:46932560-46934487_+	1928	1	cyclic	39	93981	48.75	0	Unknown
ec45	chr18:29420602-29422051_-	1450	1	cyclic	120	517757	357.07	0	Unknown
ec46	chr12:79687518-79696255_+	8738	1	cyclic	760	3563219	407.78	0	Unknown
ec47	chr19:40132814-40134137_+	1324	1	cyclic	804	2358929	1781.67	0	Unknown
ec48	chr16:59287993-59289243_-	1251	1	cyclic	3	7276	5.82	0	Unknown
ec49	chr12:17523755-17524845_+	1091	1	cyclic	268	1164357	1067.24	0	Unknown
ec50	chr11:10398653-10399372_-	720	1	cyclic	204	1000272	1389.27	0	Unknown
ec51	chr1:134150966-134155816_+	4851	1	cyclic	74	282543	58.24	0	Unknown
ec52	chr7:109993565-109994962_+	1398	1	cyclic	2130	7915122	5661.75	0	Unknown
ec53	chr3:142110737-142113839_+	3103	1	cyclic	128	451556	145.52	0	Unknown
ec54	chr8:82034355-82041348_-	6994	1	cyclic	137	751750	107.48	0	Unknown
ec55	chr12:31975822-31978483_-	2662	1	cyclic	52	130797	49.13	0	Unknown
ec56	chr15:43096095-43099528_-,chr15:82395653-82397734_-	5516	2	cyclic	166	622510	112.86	0	Unknown
ec57	chr2:9801038-9803394_+	2357	1	cyclic	73	210461	89.29	0	Unknown
ec58	chr3:85886517-85887491_-	975	1	cyclic	484	1542435	1581.98	0	Unknown
ec59	chr3:63435488-63438923_-	3436	1	cyclic	17	60805	17.70	0	Unknown
ec60	chr1:97931832-97932988_+	1157	1	cyclic	121	542801	469.15	0	Unknown
ec61	chr18:45371716-45373396_+	1681	1	cyclic	12	20543	12.22	0	Unknown
ec62	chr3:145532821-145543700_+	10880	1	cyclic	532	2356869	216.62	0	Unknown
ec63	chr17:36413060-36418259_+	5200	1	cyclic	226	842933	162.10	0	Unknown
ec64	chr19:56954875-56955495_-,chr11:49160840-49162561_+	2343	2	cyclic	72	273400	116.69	0	Unknown
