id	merge_region	merge_len	num_region	eccdna_status	numreads	totalbase	coverage
ec1	chr22:18202810-18207479_+,chr22:18890490-18896967_+	11148	2	cyclic	656	8849396	793.81
ec2	chr16:33529053-33620351_-,chr16:33491240-33529060_-	129120	7	non-cyclic	909	13684204	105.98
ec3	chr21:8446734-8447991_+,chr21:8413625-8421244_+,chr21:8403263-8413631_+,chr21:8421229-8446738_+,chr21:8402416-8403273_+	45615	5	non-cyclic	5506	210519419	4615.14
ec4	chr16:46399823-46401320_-,chr16:46390600-46392208_-,chr16:46383119-46386815_-,chr16:46386809-46387289_-,chr16:46392201-46399829_-,chr16:46382764-46383123_-,chr16:46401592-46404140_-,chr16:46390198-46390606_-,chr16:46387280-46390202_-	21155	9	non-cyclic	15699	1754368466	82929.26
ec5	chrX:71521245-71522368_+	1124	1	cyclic	36	775176	689.66
ec6	chr1:161472778-161480394_+,chr1:161439098-161472827_+	41347	2	cyclic	164	5526711	133.67
ec7	chr16:34580966-34584084_+,chr16:34584623-34589005_+,chr16:34584074-34584629_+	8058	3	non-cyclic	804	4974060	617.28
ec8	chr6:157310377-157314362_+	3986	1	cyclic	65	980620	246.02
ec9	chr6:35661489-35662013_-,chr6:35786784-35799011_+,chr6:35714544-35786793_-,chr6:38097576-41897175_-,chr6:35661968-35714764_-,chr6:35799007-38026162_-,chr6:35478712-35658657_+,chr6:35137006-35479190_-	6686687	8	non-cyclic	23501	332773921	49.77
ec10	chr3:9364986-9879458_+,chr3:9363675-9364990_+,chr3:9990886-9995583_-,chr3:9888150-9991189_-	623527	4	non-cyclic	2323	35828548	57.46
ec11	chr17:1062178-1065606_+	3429	1	cyclic	44	686354	200.16
ec12	chr21:10360053-10419917_-,chr21:10422549-10475720_-,chr21:10419910-10422512_-	115640	13	non-cyclic	1692	32237330	278.77
ec13	chr8:144233513-144380123_-,chr8:144831389-145075472_-,chr8:145075455-145076005_-,chr8:143859645-143865000_-,chr8:143864994-144125604_-,chr8:144125634-144126058_-,chr8:144380096-144831688_-,chr8:143632529-143669455_+,chr8:143669632-143859651_+,chr8:144126079-144233548_-	1443648	10	non-cyclic	8602	126928636	87.92
ec14	chr8:142834664-142836841_-,chr8:142256561-142834714_-,chr8:142836791-143072187_-	815729	9	non-cyclic	4934	70970618	87.00
ec15	chr1:143211524-143211838_+,chr1:143211834-143242835_+,chr1:143184595-143203940_+,chr1:143203950-143206041_+	52755	6	non-cyclic	6089	203116508	3850.18
ec16	chr1:168055349-168056492_+,chr19:23828484-23850382_+	23043	2	non-cyclic	192	2493377	108.21
ec17	chr7:76999040-77004663_-,chr7:76996910-76999055_-	7770	2	cyclic	81	2341435	301.34
ec18	chr7:100948464-100952529_-,chr7:100957502-100959090_-,chr7:100952530-100957465_+,chr7:100959129-100972566_-,chr7:100990779-101005359_-	38610	5	non-cyclic	348	5863732	151.87
ec19	chr15:85513772-85516031_-,chr15:35867641-35870286_+,chr15:66920520-66928432_-,chr15:35503208-35867933_+,chr15:85515968-90606290_+	5467868	5	non-cyclic	13499	195797075	35.81
ec20	chr8:130840498-131266469_-,chr8:131268257-134070686_-,chr8:135954699-135955473_+,chr8:134076773-135954939_-	5107344	4	non-cyclic	28518	400841986	78.48
ec21	chr16:34062044-34062749_+,chr16:34062745-34067761_+	5723	2	cyclic	444	7046304	1231.23
ec22	chr12:11033947-11039848_+,chr12:11065463-11088802_+	29242	2	cyclic	158	2314315	79.14
ec23	chr22:11211129-11215442_-,chr3:93470364-93470787_+,chr4:49709148-49711883_+	7474	3	non-cyclic	8035	43596860	5833.14
ec24	chr7:158915036-158917309_+	2274	1	cyclic	40	890865	391.76
ec25	chr3:183691954-183693045_+	1092	1	cyclic	38	935408	856.60
ec26	chr8:117327109-119462360_-,chr3:48761947-48762177_+	2135483	11	non-cyclic	12307	174138189	81.55
ec27	chr20:29082961-29107424_-,chr20:29062365-29082994_-	45094	2	non-cyclic	574	16469068	365.22
ec28	chr19:19849874-19858151_-,chr19:22771715-22772010_-,chr19:21722766-21750027_-	35836	3	non-cyclic	286	5251999	146.56
ec29	chr11:11246480-11247230_+	751	1	cyclic	34	526015	700.42
ec30	chrX:58045419-58046927_+	1509	1	cyclic	39	1005951	666.63
ec31	chr21:9994471-9999983_+,chr21:10050355-10122777_+,chr21:9839843-9994472_+	232566	4	non-cyclic	2115	35411108	152.26
ec32	chr21:8219472-8220266_+,chr21:8220260-8221508_+	2044	2	non-cyclic	2476	71451179	34956.55
ec33	chr13:113986933-114114076_+,chr13:114114044-114225117_+	238218	2	cyclic	830	11764270	49.38
ec34	chr11:356451-358039_+	1589	1	cyclic	36	545072	343.03
ec35	chr11:118421670-118423312_+	1643	1	cyclic	37	447025	272.08
ec36	chrX:140723246-140725492_+,chrX:140725508-140998501_+,chrX:140998211-141000600_-,chrX:141000596-141012591_-	289627	4	non-cyclic	1000	18915872	65.31
ec37	chr21:9246187-9249125_+	2939	1	cyclic	551	8627271	2935.44
ec38	chr21:7227667-7286426_+,chr21:7286404-7303264_+,chr21:7205168-7227687_+	98141	3	non-cyclic	694	16329285	166.39
ec39	chr8:128753785-129495787_-,chr8:129495588-129497764_-,chr8:129995002-130838503_+,chr8:128749972-128750274_+,chr8:129497724-129991967_+	2082229	5	non-cyclic	11951	173796803	83.47
ec40	chr1:16680843-16683075_-,chr1:16686256-16736081_-,chr1:16683064-16686333_-,chr1:16568170-16681006_+,chr1:16736076-16745150_+,chr1:16563760-16568177_+	181659	6	non-cyclic	1478	29114364	160.27
ec41	chrX:155958135-155975413_-,chrX:155975374-155983785_-,chrX:155803260-155803823_-,chrX:155983784-155987249_-	29721	4	non-cyclic	162	4830511	162.53
ec42	chr20:29229842-29232429_-,chr20:29238004-29250818_-,chr20:29232457-29238135_-	21082	3	cyclic	235	6795400	322.33
ec43	chr11:70371325-70371566_+	242	1	cyclic	45	413545	1708.86
ec44	chr9:62818560-62822803_-,chr9:62814084-62818559_-,chr9:62806310-62814088_-	16499	5	non-cyclic	196	6210523	376.42
ec45	chr19:7450134-7451121_+	988	1	cyclic	100	888503	899.29
ec46	chr8:143218400-143513100_-,chr8:143618303-143632527_+,chr8:143554070-143618316_-,chr8:143513041-143551897_+	412030	4	non-cyclic	2500	37703180	91.51
ec47	chr5:179630026-179640556_+,chr5:179639700-179658566_+	29398	2	non-cyclic	111	2035364	69.23
ec48	chr1:205957634-206052528_+,chr1:206052521-206058912_+	101287	2	cyclic	422	7907220	78.07
ec49	chr4:49278601-49287616_-,chr4:49289852-49303418_-,chr4:49247859-49278606_-,chr4:49157284-49248105_-,chr4:49303391-49307715_-,chr4:49287612-49289862_-,chr4:49307711-49308986_+	152005	7	non-cyclic	1700	95199519	626.29
ec50	chr5:181045778-181046361_+	584	1	cyclic	43	817090	1399.13
ec51	chr21:9012409-9015203_-,chr21:8996668-9012418_-,chr21:9015176-9087948_-	91319	6	non-cyclic	1005	18368635	201.15
ec52	chr19:34390537-34392944_+	2408	1	cyclic	133	1499990	622.92
ec53	chr2:90399896-90402499_-,chr2:90289286-90298613_-,chr2:90379835-90399931_-,chr2:90298611-90379792_-,chr2:90288439-90289389_-	114162	5	non-cyclic	982	32964844	288.75
ec54	chr20:31051509-31066974_+,chr20:31066968-31077622_+	26121	2	cyclic	553	12252636	469.07
ec55	chr10:128464362-128464625_+	264	1	cyclic	51	655944	2484.64
ec56	chr4:190175873-190180262_-,chr4:190180269-190180993_-,chr4:190180989-190181830_-	5957	3	non-cyclic	617	7676086	1288.58
ec57	chr18:74204687-74204891_-	205	1	cyclic	38	208564	1017.39
ec58	chr6:65754000-65755564_+	1565	1	cyclic	28	642959	410.84
ec59	chr11:82161506-82161892_+,chr9:35883711-35884436_+	1113	2	cyclic	68	1393170	1251.73
ec60	chr18:110895-111109_+,chr18:107661-110901_-,chr18:107451-107668_-	3674	3	non-cyclic	3077	61879436	16842.52
ec61	chr18:112004-112539_-,chr18:111122-111564_-	979	2	non-cyclic	1861	21589457	22052.56
ec62	chr5:17517013-17529960_+	12948	1	cyclic	233	5916382	456.93
ec63	chr8:59222691-59224258_+	1568	1	cyclic	38	573882	366.00
ec64	chr22:10711693-10722213_+,chr22:10722181-10730387_+,chr13:19796302-19797499_+,chr22:10710927-10711700_-	20700	4	non-cyclic	400	11101941	536.33
ec65	chr4:80460838-81969453_-,chr4:79973283-80460846_+,chr17:59122841-59286849_-	2160189	3	cyclic	8743	126260817	58.45
ec66	chr10:133688503-133689317_-,chr10:133686079-133687108_-,chr10:133687174-133688510_-	3182	3	non-cyclic	2588	61714774	19394.96
ec67	chr3:95751920-95752156_+	237	1	cyclic	33	598437	2525.05
ec68	chr11:1016559-1018551_+	1993	1	cyclic	66	661904	332.11
ec69	chr12:8208855-8238302_+,chr12:8238281-8405890_+,chr12:7980080-8208923_+	425902	3	cyclic	1086	18251612	42.85
ec70	chr22:11031161-11056769_-,chr22:11058460-11060423_+,chr22:11056682-11058540_-	29432	3	non-cyclic	277	5348630	181.73
ec71	chr11:62009600-62010716_+	1117	1	cyclic	36	925565	828.62
ec72	chr11:94232895-94241276_+	8382	1	cyclic	128	2458705	293.33
ec73	chr17:36187244-36195938_-,chr17:36182409-36187341_-	13628	2	non-cyclic	137	3801056	278.92
ec74	chr19:50104617-50113175_-,chr19:50098470-50104758_-	14848	2	non-cyclic	55	2353832	158.53
ec75	chr8:139962910-141492241_-,chr8:137731619-139960603_-,chr8:135955405-137730721_+	5533634	3	non-cyclic	30936	431911025	78.05
ec76	chr7:152395169-152401261_+,chr7:152401118-152416667_+	21643	2	non-cyclic	197	5077310	234.59
ec77	chr17:45512139-45520118_+	7980	1	cyclic	38	691501	86.65
ec78	chr9:10137717-10404564_+,chr9:10404552-10405105_-,chr9:10021388-10136559_-	382574	3	non-cyclic	1261	20193070	52.78
ec79	chr3:195710219-195730639_+,chr3:195744086-195750925_+	27261	2	cyclic	225	4326862	158.72
ec80	chr6:125213113-125266514_+	53402	1	cyclic	202	3308053	61.95
ec81	chr18:37722313-37726097_+	3785	1	cyclic	31	577139	152.48
ec82	chr21:13648931-13652718_+	3788	1	cyclic	39	972926	256.84
ec83	chr19:27471656-27478171_+	6516	1	cyclic	50	1116599	171.36
ec84	chr19:8763488-8768392_+,chr19:8790222-8881719_+,chr19:8740451-8763522_+	119475	5	non-cyclic	510	11635265	97.39
ec85	chr9:137845054-137846488_+	1435	1	cyclic	19	331956	231.33
ec86	chr19:20405188-20421344_+,chr3:48210573-48213521_+	19106	2	non-cyclic	156	2733298	143.06
ec87	chr3:198172833-198174526_+	1694	1	cyclic	125	1080243	637.69
ec88	chr17:22375512-22389998_+	14487	1	cyclic	102	1452441	100.26
ec89	chr14:105229628-105240946_+	11319	1	cyclic	67	1678079	148.25
ec90	chr7:55855008-55855835_+	828	1	cyclic	41	966547	1167.33
ec91	chr1:222141649-222200820_+,chr1:222207198-222377076_+	229051	2	cyclic	1110	16326540	71.28
ec92	chr2:5022434-5023552_+	1119	1	cyclic	50	849978	759.59
ec93	chr21:43335942-43337643_+	1702	1	cyclic	78	1087314	638.84
ec94	chr17:26936014-26940903_+	4890	1	cyclic	264	2668414	545.69
ec95	chr7:158151036-158151496_+	461	1	cyclic	34	217828	472.51
ec96	chr6:54059966-54063911_+	3946	1	cyclic	44	623082	157.90
ec97	chr10:126947245-126948506_+	1262	1	cyclic	58	946078	749.67
